dForagingMean,dSurvTransitionBroodingForaging,dSurvTransitionForagingBrooding,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
80,0.95,0.95,0,0.0520359,10,10,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02559,1,0,1,-0.00211404,0.109485,-0.195587,0.0351298,-0.202373
80,0.95,0.95,1,0.0752153,7,7,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.18297,1,0,1,0.0371877,0.0326878,-0.146233,-0.351658,-0.217187
80,0.95,0.95,2,0.116958,9,9,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.87465,1,0,1,-0.00678269,0.0369091,0.00614336,-0.0151278,-0.0627369
80,0.95,0.95,3,0.142931,14,14,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.97637,0,1,1,-0.140487,0.151334,-0.264293,0.0183308,-0.0842067
80,0.95,0.95,4,0.175083,22,22,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.10194,0,1,1,0.0255654,-0.0490168,0.0745222,0.00418694,-0.0908659
80,0.95,0.95,5,0.243321,17,17,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.96489,0,1,1,-0.0326359,0.0134404,-0.170509,0.068585,-0.0355346
80,0.95,0.95,6,0.255249,4,4,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.02994,1,0,1,0.120487,0.0325245,0.133711,0.186142,-0.0155755
80,0.95,0.95,7,0.335491,12,12,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02174,0,1,1,-0.0954509,0.158635,-0.263248,-0.231039,0.02872
80,0.95,0.95,8,0.350294,6,6,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.94845,0,1,1,-0.0143238,-0.0727942,0.300091,0.0457759,-0.0654383
80,0.95,0.95,9,0.366531,20,20,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02964,0,1,1,0.160064,0.293098,-0.257319,0.0377016,-0.00973685
80,0.95,0.95,10,0.384335,5,5,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.11548,1,0,1,0.120893,0.0867029,0.329589,0.034244,0.0917447
80,0.95,0.95,11,0.441853,3,3,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.10797,0,1,1,0.0868852,0.00303885,-0.116944,0.167571,-0.0149562
80,0.95,0.95,12,0.522863,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.88825,0,1,1,-0.0143238,-0.0385697,0.0631725,0.0467959,-0.0555634
80,0.95,0.95,13,0.530106,13,13,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.95566,1,0,1,0.0835717,-0.0341211,-0.126251,-0.102936,-0.0272519
80,0.95,0.95,14,0.654795,23,23,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.20978,1,0,1,0.149228,0.15461,0.0761063,-0.213403,-0.00905719
80,0.95,0.95,15,0.663561,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.20978,1,0,1,0.16359,0.151334,-0.116322,0.186142,0.0130639
80,0.95,0.95,16,0.702514,21,21,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.20978,0,1,1,0.15003,-0.0960613,0.0761063,-0.0112272,0.0473719
80,0.95,0.95,17,0.768734,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.13192,1,0,1,0.0799908,0.0411625,-0.0915793,0.0285164,-0.0448618
80,0.95,0.95,18,0.777468,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.07524,0,1,1,0.0213376,-0.0337968,-0.0249863,-0.025652,-0.154002
80,0.95,0.95,19,0.783084,18,18,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.95865,0,1,1,0.0588273,0.04934,0.161413,0.0961786,-0.049339
80,0.95,0.95,20,0.869482,11,11,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.13317,1,0,1,-0.101265,0.0697932,0.27289,0.147151,0.0850793
80,0.95,0.95,21,0.936232,8,8,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.13192,0,1,1,0.00786004,0.00427065,-0.189232,0.0587171,-0.0262711
80,0.95,0.95,22,0.944635,2,2,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.81072,0,1,1,0.0835717,-0.065403,-0.111296,-0.26917,-0.197712
80,0.95,0.95,23,0.964376,19,19,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.07116,0,1,1,-0.00877608,-0.036282,-0.0689241,-0.113332,0.0358522
80,0.95,0.95,24,0.985836,15,15,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.10797,0,1,1,0.120893,-0.00612125,0.0484342,0.112037,0.139042
80,0.95,0.95,25,4.05204,10,10,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.02559,2,0,1,-0.00211404,0.109485,-0.195587,0.0351298,-0.202373
80,0.95,0.95,26,4.07522,7,7,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.18297,2,0,1,0.0371877,0.0326878,-0.146233,-0.351658,-0.217187
80,0.95,0.95,27,4.11696,9,9,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.87465,1,1,1,-0.00678269,0.0369091,0.00614336,-0.0151278,-0.0627369
80,0.95,0.95,28,4.14293,14,14,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.97637,1,1,1,-0.140487,0.151334,-0.264293,0.0183308,-0.0842067
80,0.95,0.95,29,4.17508,22,22,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.10194,1,1,1,0.0255654,-0.0490168,0.0745222,0.00418694,-0.0908659
80,0.95,0.95,30,4.24332,17,17,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.96489,0,0,1,-0.0326359,0.0134404,-0.170509,0.068585,-0.0355346
