dForagingMean,dSurvTransitionBroodingForaging,dSurvTransitionForagingBrooding,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,relatedness,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
0.5,0.9,0.9,1000.01,258964,-5.00149,0.0216312,867,1463,0,0.932202,2,1.73349,1,2.01072,3,3.0427,0.495814,-0.00041871,0.0211302,0.00256936,0.0194335,-0.00214973,0.021182,-0.000205141,0.0224408,0.000169243,0.0253572
0.5,0.9,0.9,2000.01,519652,-5.00329,0.0266105,902,1494,0,0.95184,2,1.83139,2,1.88786,4,3.06562,0.540745,-0.001944,0.0290479,0.00312525,0.0235253,-0.00122956,0.0293534,-0.00280143,0.0280097,0.00127844,0.0314915
0.5,0.9,0.9,3000.02,780323,-5.00215,0.0299612,902,1440,0,0.95289,1,2.04279,2,1.78522,4,2.98831,0.550654,-0.00696573,0.0358305,-0.00183001,0.0328913,0.000152852,0.0360257,-0.00171696,0.032809,0.00230926,0.0398409
0.5,0.9,0.9,4000.02,1043289,-5.00496,0.0348566,966,1515,0,0.986914,2,1.88202,2,1.92198,4,3.17049,0.525475,-0.00643977,0.0383529,-0.000975614,0.035269,0.00505111,0.0411462,-0.00252299,0.0380083,0.00604455,0.0415286
0.5,0.9,0.9,5000.02,1302682,-5.00306,0.0426273,944,1464,0,0.976729,2,1.89288,1,2.05402,4,3.10644,0.551562,-0.00799612,0.0407153,0.00220998,0.0379933,0.00786543,0.0433132,-0.00559747,0.0411859,0.0083789,0.0457455
0.5,0.9,0.9,6000.02,1563719,-4.99937,0.047069,991,1582,0,0.996494,2,1.86842,2,1.83057,4,3.16481,0.52651,-0.0105492,0.0402193,0.000966503,0.0432388,0.00345964,0.0561042,-0.00346405,0.0456723,0.0138109,0.0539253
0.5,0.9,0.9,7002.01,1825358,-4.99985,0.0524967,952,1543,0,0.979796,2,1.82291,2,1.82729,4,3.01894,0.556729,-0.0141581,0.0448584,0.00218945,0.0510786,0.00511571,0.058999,-0.00601851,0.0542679,0.0186313,0.0572105
0.5,0.9,0.9,8002.01,2083201,-4.99819,0.0526886,970,1560,0,0.987927,2,1.82401,2,1.74814,4,2.96597,0.57268,-0.0275597,0.0560096,0.00795409,0.0616927,0.0070399,0.0670409,-0.00417053,0.0498708,0.0188749,0.0630634
0.5,0.9,0.9,9002.01,2345662,-4.99234,0.0555608,1002,1596,1,0.0632456,1,2.01941,2,1.84499,4,3.05614,0.555467,-0.0376895,0.0671406,0.00976375,0.0694077,0.00814701,0.0647602,-0.0071458,0.0574429,0.0169647,0.0658656
0.5,0.9,0.9,10002,2608784,-5,0.0588467,1003,1552,1,0.0707107,2,1.92769,2,1.86842,4,3.22537,0.586158,-0.0487404,0.0701447,0.00386278,0.0735899,0.00726409,0.0734478,-0.0107511,0.0611638,0.0202486,0.0636039
0.5,0.9,0.9,11002,2871559,-4.99633,0.0691584,1008,1626,1,0.1,2,1.86118,1,2.05913,4,3.08675,0.550306,-0.0558776,0.0760359,-0.00429645,0.0807902,0.00104777,0.0692411,-0.00547545,0.0716159,0.0184082,0.0592858
0.5,0.9,0.9,12002,3133443,-4.99975,0.0727131,992,1637,0,1.001,1,1.97889,1,2.01395,3,3.02424,0.51846,-0.0645095,0.0775624,-0.00423045,0.0822734,0.00227764,0.0707001,-0.0189308,0.0772884,0.0295509,0.06068
0.5,0.9,0.9,13002,3397080,-5.00962,0.0840896,1004,1626,1,0.0774597,1,2.00574,1,2.05888,3,3.07961,0.538125,-0.0651489,0.0784527,-0.00453733,0.0892655,-0.00290965,0.0681158,-0.0331782,0.0825453,0.0385434,0.0620469
0.5,0.9,0.9,14002,3659120,-5.00208,0.0855217,1001,1627,1,0.104881,1,1.97104,1,2.07461,3,3.12266,0.535581,-0.081352,0.0765657,0.00714581,0.0871866,0.00360841,0.0702752,-0.0341496,0.0758424,0.0409628,0.0634316
0.5,0.9,0.9,15002,3923549,-5.00439,0.0931295,1004,1630,1,0.0894427,1,2.09595,1,2.0241,3,3.11577,0.562528,-0.104613,0.091127,-0.00169606,0.0896627,0.00438978,0.0735877,-0.0407986,0.0864073,0.043333,0.0669785
0.5,0.9,0.9,16002,4188422,-5.0114,0.0939361,1006,1659,1,0.0894427,1,1.99524,1,2.08591,3,3.13911,0.519345,-0.118579,0.0932597,-0.015605,0.0919181,-0.00962775,0.0743168,-0.03704,0.0798996,0.0421105,0.0654064
0.5,0.9,0.9,17002,4453098,-4.99785,0.101293,1001,1699,1,0.0547723,1,1.89077,1,1.84905,3,2.90034,0.520148,-0.137762,0.0944093,-0.0225005,0.0887169,-0.0138173,0.0772386,-0.0511316,0.0840684,0.0411581,0.0690223
0.5,0.9,0.9,18002,4717689,-5.00322,0.101737,1006,1679,1,0.1,1,1.89526,1,1.88944,3,2.89102,0.547077,-0.163608,0.0967241,-0.0340253,0.0963004,-0.0130919,0.085535,-0.0498785,0.0904665,0.0427158,0.0680684
0.5,0.9,0.9,19002,4982730,-4.99385,0.10927,1000,1678,1,0.0447214,1,1.87697,1,1.7655,3,2.77489,0.582462,-0.16814,0.0943061,-0.0256773,0.100258,-0.0248482,0.0870039,-0.0446262,0.0883171,0.0470033,0.0647434
0.5,0.9,0.9,20002,5247888,-4.99508,0.101021,1001,1721,1,0.0948683,1,1.81769,1,1.76748,3,2.73934,0.507131,-0.187445,0.103173,-0.0179645,0.103231,-0.0134205,0.0986979,-0.0522022,0.0892402,0.0473497,0.0760382
0.5,0.9,0.9,21002,5513120,-4.99585,0.116334,1003,1693,1,0.0707107,1,1.76295,1,1.85849,3,2.76369,0.529475,-0.200023,0.110031,-0.0159371,0.104926,-0.00611906,0.0910023,-0.0400875,0.0863777,0.0566093,0.0795982
0.5,0.9,0.9,22002,5778676,-4.99569,0.118674,1001,1765,1,0.0547723,1,1.8363,1,1.63218,3,2.64915,0.512303,-0.223051,0.114925,-0.013351,0.090346,-0.00156496,0.0910382,-0.0255962,0.0850548,0.0482096,0.0802836
0.5,0.9,0.9,23002,6044361,-5.01154,0.116996,1001,1759,1,0.0547723,1,1.72714,1,1.72395,3,2.59403,0.586034,-0.24237,0.118392,-0.0143032,0.0884969,-0.00910268,0.096236,-0.0292912,0.0859736,0.0533211,0.0804948
