"X","dfm","dstfb","rp","condition","evolution","lou","deadInd","oneofem"
1,0.5,0.9,1,"lM_TS90",1,1,1,1
2,80,0.9,1,"hM_TS90",1,1,1,1
3,0.5,0.95,1,"lM_TS95",1,1,1,1
4,80,0.95,1,"hM_TS95",1,1,1,1
5,0.5,1,1,NA,0,0,0,0
6,80,1,1,NA,0,0,0,0
7,0.5,0.9,2,"lM_TS90",1,1,1,1
8,80,0.9,2,"hM_TS90",1,1,1,1
9,0.5,0.95,2,"lM_TS95",1,1,1,1
10,80,0.95,2,"hM_TS95",1,1,1,1
11,0.5,1,2,"lM_TS100",1,1,1,1
12,80,1,2,"hM_TS100",1,1,1,1
13,0.5,0.9,3,"lM_TS90",1,1,1,1
14,80,0.9,3,"hM_TS90",1,1,1,1
15,0.5,0.95,3,"lM_TS95",1,1,1,1
16,80,0.95,3,"hM_TS95",1,1,1,1
17,0.5,1,3,"lM_TS100",1,1,1,1
18,80,1,3,"hM_TS100",1,1,1,1
