dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
0.5,0.5,0,0.023575,7,7,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.94299,0,1,1,-0.142276,-0.00760676,0.0188464,-0.00517625,0.00273955
0.5,0.5,1,0.0486319,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.06833,1,0,1,-0.185167,0.0734629,-0.156024,0.135408,-0.0678596
0.5,0.5,2,0.0533807,22,22,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.14812,0,1,1,-0.15524,0.0639145,-0.0195419,-0.0537461,-0.0173659
0.5,0.5,3,0.100082,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.02591,0,1,1,-0.0847636,0.128174,0.0241129,0,-0.00474605
0.5,0.5,4,0.104104,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.03183,0,1,1,-0.120349,-0.00147435,-0.0585143,0,0.00389256
0.5,0.5,5,0.109995,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.0005,1,0,1,-0.33911,0.0453686,-0.00445822,0.0124028,0.0492758
0.5,0.5,6,0.151087,13,13,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02224,1,0,1,-0.0466348,0.0143304,-0.00353699,0.00534388,0.0137908
0.5,0.5,7,0.2211,23,23,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99185,1,0,1,-0.138165,0.0787176,0.0188464,0.0199556,-0.102767
0.5,0.5,8,0.260747,10,10,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.04636,1,0,1,-0.100249,0.022031,0.0425368,0.103662,0.00552675
0.5,0.5,9,0.30309,12,12,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02562,1,0,1,-0.10961,-0.0453735,0.0285812,0.00988535,0.0869962
0.5,0.5,10,0.337136,18,18,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.01288,1,0,1,-0.0504902,0.108706,0.0327295,0.184521,-0.102767
0.5,0.5,11,0.460582,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.01045,1,0,1,-0.0114853,0.102954,0.113069,0.0268479,-0.0343685
0.5,0.5,12,0.585285,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.89804,1,0,1,-0.0436776,0.0991684,-0.0193513,-0.064729,-0.0678635
0.5,0.5,13,0.641726,9,9,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.11003,1,0,1,-0.124859,-0.0218395,0.0248549,-0.00283721,-0.104984
0.5,0.5,14,0.642644,15,15,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.00622,1,0,1,-0.0247402,0.0974362,0.0743849,0.0082115,-0.0787129
0.5,0.5,15,0.664876,4,4,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.97628,1,0,1,-0.0847636,0.022031,-0.00601303,0.103662,-0.0106452
0.5,0.5,16,0.691852,21,21,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.96022,1,0,1,-0.0168527,0.16389,-0.0550305,-0.057446,0.089305
0.5,0.5,17,0.704162,19,19,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.02442,1,0,1,-0.106078,0.0371089,-0.00660117,-0.0707741,0.0364049
0.5,0.5,18,0.707974,17,17,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.02224,0,1,1,-0.112603,0.0271146,0.162476,-0.0153593,-0.0769137
0.5,0.5,19,0.709863,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.01199,1,0,1,-0.0247402,0.0271146,0.133389,0.03932,-0.0787129
0.5,0.5,20,0.761016,11,11,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.96126,1,0,1,-0.15524,0.0601057,-0.0161574,-0.0134139,0.0207144
0.5,0.5,21,0.782694,5,5,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.01863,1,0,1,-0.100479,0.0271146,-0.0339583,0.113556,-0.0299462
0.5,0.5,22,0.859946,3,3,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99536,0,1,1,-0.0221732,0.00842148,-0.0772051,0.129823,-0.0143039
0.5,0.5,23,0.906501,14,14,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.94787,0,1,1,-0.063825,-0.0252736,0.0768201,0.0418522,0.0168139
0.5,0.5,24,0.952872,20,20,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00728,0,1,1,-0.10961,-0.049931,0.03834,-0.199166,-0.0299335
0.5,0.5,25,4.02358,7,7,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-4.94299,1,1,1,-0.142276,-0.00760676,0.0188464,-0.00517625,0.00273955
0.5,0.5,26,4.04863,1,1,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.06833,2,0,1,-0.185167,0.0734629,-0.156024,0.135408,-0.0678596
0.5,0.5,27,4.05338,22,22,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.14812,0,2,1,-0.15524,0.0639145,-0.0195419,-0.0537461,-0.0173659
0.5,0.5,28,4.10008,0,0,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5.02591,0,1,1,-0.0847636,0.128174,0.0241129,0,-0.00474605
0.5,0.5,29,4.1041,8,8,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.03183,1,1,1,-0.120349,-0.00147435,-0.0585143,0,0.00389256
0.5,0.5,30,4.11,6,6,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.0005,1,0,1,-0.33911,0.0453686,-0.00445822,0.0124028,0.0492758
0.5,0.5,31,4.15109,13,13,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.02224,2,0,1,-0.0466348,0.0143304,-0.00353699,0.00534388,0.0137908
