dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,relatedness,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
0.5,0.5,1000,257033,-5.00072,0.0155952,999,3535,0,1.01143,4,3.58525,4,3.54316,9,6.17511,0.458101,-0.000881491,0.0140965,0.00156169,0.0128947,0.000270368,0.0152722,0.00094978,0.0170117,-0.000279751,0.0171479
0.5,0.5,2000,514745,-5.00134,0.0213069,1002,3453,1,0.173205,5,3.41306,5,3.39161,10,6.00766,0.506838,0.000407075,0.0221324,0.00377308,0.024886,0.00160643,0.0206744,0.00142625,0.0231442,0.000547477,0.0214789
0.5,0.5,3000,771948,-5.00073,0.0219046,993,3451,0,1.00846,4,3.64513,4,3.64308,9,6.31941,0.560866,-0.000880959,0.0242679,0.0056307,0.0285796,0.00385868,0.024105,0.00237352,0.024861,0.00210837,0.0244541
0.5,0.5,4000,1030075,-4.99905,0.0296442,1006,3361,1,0.189737,4,3.47549,4,3.56455,9,6.09762,0.48906,-0.00417063,0.0296975,0.00553587,0.0292994,0.00343098,0.0283788,-0.000247746,0.0285545,0.00116873,0.0262104
0.5,0.5,5000,1288568,-4.99595,0.0299642,993,3442,0,1.00846,4,3.36467,4,3.41804,9,5.82889,0.498596,-0.00653049,0.0318105,0.00584705,0.0309126,0.0031826,0.0317134,-0.00277229,0.0369497,-0.000294309,0.0297718
0.5,0.5,6000,1545597,-4.99483,0.0336545,999,3423,0,1.0144,4,3.6428,4,3.47678,9,6.28299,0.510164,-0.00564892,0.0310724,0.00639285,0.032957,0.00304135,0.0314594,-0.00518361,0.0380495,0.00304244,0.0390063
0.5,0.5,7000,1803172,-4.99502,0.0332323,996,3523,0,1.0139,4,3.66947,4,3.54443,9,6.27344,0.530334,-0.00922584,0.0347492,0.00915341,0.0328129,-0.00103092,0.0351641,-0.00475371,0.0415545,-0.000441922,0.0414393
0.5,0.5,8000,2060885,-4.99758,0.0389106,992,3493,0,1.01193,4,3.47649,4,3.48037,9,6.07791,0.510872,-0.00772474,0.0356183,0.00786727,0.0352408,0.00421764,0.0382626,-0.000862372,0.0402126,-0.00514622,0.0413212
0.5,0.5,9000,2318072,-4.9961,0.0406395,999,3538,0,1.01735,4,3.33961,4,3.41497,9,5.80233,0.508834,-0.0114816,0.03766,0.00852579,0.0384865,0.00630529,0.0383049,-0.00142079,0.0415424,-0.00482004,0.0438105
0.5,0.5,10000,2576757,-4.99931,0.0452723,1003,3450,1,0.207364,4,3.57869,4,3.64349,9,6.3476,0.446222,-0.0132061,0.039157,0.0132465,0.0381969,0.00616886,0.0405178,0.000606749,0.0428016,-0.00448963,0.0450501
0.5,0.5,11000,2835077,-5.0029,0.0454185,1003,3520,1,0.130384,4,3.52548,4,3.34739,9,5.9803,0.522509,-0.0157896,0.0450233,0.0168681,0.0418506,0.00825117,0.0430145,-0.000350088,0.0477527,-0.00458509,0.0497085
0.5,0.5,12000,3092283,-5.00438,0.0444913,993,3492,0,1.00747,4,3.49213,4,3.47261,9,6.01066,0.52516,-0.0174029,0.0463953,0.0162316,0.047152,0.00229046,0.0440747,0.00166862,0.0494623,-0.00874928,0.0486708
0.5,0.5,13000,3350445,-5.00384,0.0421793,1006,3496,1,0.178885,4,3.47764,4,3.46973,9,6.07166,0.528597,-0.0194704,0.0491791,0.00729373,0.0518198,0.00472951,0.0441799,0.00263887,0.0497276,-0.0156071,0.0539953
0.5,0.5,14000,3609259,-5.00738,0.0418109,1004,3582,1,0.184391,4,3.5557,4,3.79262,9,6.50146,0.50615,-0.0176838,0.0523422,0.0111203,0.0509307,0.00451286,0.0453858,0.000769659,0.0475197,-0.0120402,0.0570939
0.5,0.5,15000,3867139,-5.00494,0.0412114,1011,3561,1,0.187083,4,3.50799,4,3.46987,9,6.09705,0.480838,-0.0283376,0.0548064,0.00909751,0.056828,0.00200594,0.0455961,0.00224838,0.0503044,-0.0125748,0.0532888
0.5,0.5,16000,4125574,-5.0016,0.0452961,1002,3583,1,0.167332,4,3.30273,4,3.36393,9,5.79379,0.499924,-0.0292677,0.0527284,0.0133423,0.057224,0.00552017,0.0490386,0.000414263,0.0516165,-0.00798148,0.057512
0.5,0.5,17000,4383486,-5.00414,0.0412744,1009,3684,1,0.176068,4,3.49471,4,3.47477,9,6.0325,0.503959,-0.0315246,0.0550408,0.0201156,0.0583128,0.00951805,0.0491945,0.00103315,0.0506411,-0.00881062,0.0579722
0.5,0.5,18000,4641745,-5.00111,0.0463045,1004,3564,1,0.184391,4,3.41614,4,3.42272,9,6.03001,0.511097,-0.0356052,0.0556912,0.0186026,0.0562112,0.00751374,0.0498159,0.0011235,0.0532405,-0.00676284,0.0582797
0.5,0.5,19000,4899760,-4.99931,0.0464311,1000,3545,1,0.167332,4,3.37565,4,3.54908,9,6.02536,0.502944,-0.0376841,0.0573356,0.0180821,0.057367,0.000377559,0.0499812,0.00228474,0.0634498,-0.0123829,0.0585749
0.5,0.5,20000,5157721,-5.00513,0.0540416,1003,3473,1,0.164317,4,3.40323,4,3.55879,9,6.07429,0.486085,-0.0368597,0.0593559,0.0182965,0.0635261,0.00193236,0.0475982,-0.00533798,0.0666909,-0.0186904,0.060962
0.5,0.5,21000,5415229,-5.00403,0.0491985,1009,3535,1,0.144914,4,3.37713,4,3.47534,9,5.98055,0.532417,-0.0422378,0.0583373,0.0251655,0.0625539,-6.6044e-05,0.0496483,-0.00402654,0.0711026,-0.0131564,0.0640131
0.5,0.5,22000,5672743,-5.01379,0.0604529,999,3535,0,1.01143,4,3.36957,4,3.5819,9,6.08638,0.519069,-0.0400514,0.0582851,0.0226733,0.0629471,0.00392356,0.0549173,-0.012819,0.0776921,-0.00845816,0.0647152
0.5,0.5,23000,5930518,-5.01273,0.0627963,1008,3512,1,0.194936,4,3.45152,4,3.5488,9,6.10827,0.512193,-0.0443252,0.0516586,0.0287876,0.0714972,0.00455114,0.0543526,-0.00415232,0.07079,0.00277579,0.0656918
0.5,0.5,24000,6188647,-5.01201,0.0665962,999,3578,0,1.00747,4,3.35619,4,3.29545,9,5.84483,0.502951,-0.0498076,0.0559142,0.0241762,0.0677741,0.00265151,0.0581056,-0.00687936,0.0772043,-0.00185499,0.0651419
0.5,0.5,25000,6446300,-5.00721,0.0745709,1008,3547,1,0.173205,4,3.53115,4,3.24407,9,5.99074,0.479586,-0.0555568,0.0553065,0.0267475,0.0713774,0.0029469,0.063899,-0.00787983,0.0763944,0.000140852,0.0609665
0.5,0.5,26000,6704776,-4.99849,0.0674045,995,3545,0,1.00747,4,3.56721,4,3.51781,9,6.25428,0.508484,-0.0578005,0.0586327,0.0304993,0.0705324,-0.00201751,0.0604479,-0.00507829,0.0732927,2.83709e-05,0.0646987
0.5,0.5,27000,6961912,-5.00514,0.0687733,1000,3645,1,0.184391,4,3.26787,4,3.31753,9,5.7603,0.443595,-0.0690145,0.0602907,0.0315049,0.0721718,-0.00461257,0.0584908,-0.00449586,0.0724421,-0.00473377,0.0662684
0.5,0.5,28000,7219335,-5.00716,0.0683658,999,3677,0,1.01045,4,3.30983,4,3.30968,8,5.91177,0.481793,-0.0731063,0.0685208,0.0333931,0.0767694,0.000730128,0.0597992,-0.00914215,0.0768009,0.00134176,0.0651953
0.5,0.5,29000,7477064,-5.01581,0.0747193,1003,3529,1,0.151658,4,3.35425,4,3.2553,8,5.84568,0.493181,-0.0769192,0.0660492,0.0406836,0.0797804,-0.000264617,0.0575564,-0.0131085,0.0824614,-0.00202009,0.0653646
