dBroodingTime,dForagingTime,dDeathTime,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta1,beta2,beta3,beta4,beta5
4,4,12,0,0.0975135,3,3,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.94349,1,0,1,-0.170774,-0.237147,0.148728,-0.0400853,-0.207788
4,4,12,1,0.12769,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.93691,1,0,1,0,0.0167712,0.0159928,0.0512184,-0.165927
4,4,12,2,0.151135,15,15,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.92812,1,0,1,0.138692,0.0028701,-0.0388377,0.0177847,0
4,4,12,3,0.158382,9,9,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.89898,0,1,1,0.00803367,-0.204429,0.0505957,-0.0237999,-0.0170786
4,4,12,4,0.16039,17,17,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.11951,1,0,1,0.0446769,-0.0707497,0,-0.0183936,0
4,4,12,5,0.18887,1,1,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,1,0,1,-0.123767,-0.104633,-0.053735,0.178259,-0.0779043
4,4,12,6,0.191285,14,14,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,1,0,1,-0.0610137,-0.0676899,0.062302,-0.000139879,-0.044104
4,4,12,7,0.247728,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.15087,1,0,1,-0.0668592,-0.0537953,0,0.00823379,-0.0482033
4,4,12,8,0.260653,19,19,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.98757,1,0,1,-0.0110831,-0.127512,-0.0297839,0.101796,0.0735764
4,4,12,9,0.416327,13,13,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,-0.073983,-0.130318,0.116122,-0.152608,0.0281554
