dBroodingTime,dForagingTime,dDeathTime,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
4,12,12,52.0008,6929,-5.00003,0.00255627,1001,295,1,0.0316228,1,1.53264,1,1.51658,3,2.15151,0.000121476,0.00228849,1.95498e-05,0.00413389,-8.58785e-05,0.0020445,0.000263308,0.00403146,0.000136287,0.00215771
4,12,12,104.002,13441,-5.0001,0.0042216,1004,469,1,0.0632456,1,1.614,1,1.57797,3,2.2581,0.000248566,0.00460343,0.000216821,0.0071612,-0.000171177,0.00346796,0.000168008,0.00686144,-0.000105609,0.00421923
4,12,12,156.001,20063,-5.00015,0.00419086,1005,884,1,0.0707107,2,1.9401,2,2.01345,4,3.33736,0.000270636,0.0047177,0.000218441,0.00722184,-8.76875e-05,0.00400909,0.000193913,0.00696014,-0.000110298,0.00421974
4,12,12,208.003,26700,-5.00004,0.00520805,1007,697,1,0.083666,2,1.65952,2,1.63829,4,2.62183,0.000149368,0.00567029,6.84993e-05,0.00726505,0.000134034,0.00479767,0.000327118,0.00726236,1.81101e-05,0.00486023
4,12,12,260.002,33395,-4.99972,0.00746365,1010,1106,1,0.1,2,2.3197,2,2.36263,5,3.7554,0.000250512,0.00695009,5.91189e-05,0.00780784,-9.94316e-05,0.00605547,0.000413038,0.00855586,-0.000153021,0.00743931
4,12,12,312.002,39988,-4.99987,0.00795432,1015,812,1,0.130384,2,1.76295,2,1.77651,4,2.87367,0.000239008,0.00781394,5.56489e-05,0.008082,9.61475e-05,0.00740662,0.000337379,0.00956244,-6.74435e-05,0.00803439
4,12,12,364.001,46682,-4.99989,0.00979768,1017,1245,1,0.13784,2,2.39875,2,2.37213,5,3.83314,0.000283122,0.00804003,-5.82453e-05,0.00907872,0.000216917,0.0081356,0.000398067,0.00963708,-0.000137252,0.00855878
4,12,12,416.001,53281,-4.99967,0.0106522,1015,882,1,0.122474,2,1.85796,2,1.91128,4,3.0762,8.95897e-05,0.00872869,-2.93297e-05,0.00886694,0.000180789,0.00820558,0.000522853,0.0105425,7.20595e-05,0.00863857
4,12,12,468.003,59995,-4.99981,0.0117583,1016,1320,1,0.126491,2,2.45561,2,2.51177,5,4.07468,0.000370111,0.0101787,4.71439e-05,0.00882694,5.59902e-05,0.00801872,0.000796633,0.0116075,-0.00011602,0.00956923
4,12,12,520.001,66658,-4.99965,0.0117295,1011,978,1,0.104881,2,1.96342,2,2.00474,4,3.28664,7.43619e-05,0.0111704,0.000355125,0.0105738,0.000194114,0.00782082,0.000514461,0.0121908,1.49767e-05,0.0099519
