dBroodingTime,dForagingTime,dDeathTime,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta1,beta2,beta3,beta4,beta5
12,20,12,0,0.0300398,21,21,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-3.11553,0,1,1,1.19883,-0.989956,-0.364006,-0.0512981,-0.245029
12,20,12,1,0.046498,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-3.3023,0,1,1,1.24393,-1.25279,0.724565,0.189925,0.0768047
12,20,12,2,0.135089,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-3.21527,0,1,1,0.986386,-1.03422,0.765519,0.16009,0.034173
12,20,12,3,0.311132,23,23,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-3.14188,0,1,1,1.18719,-0.981273,0.338415,0.293823,-0.214625
12,20,12,4,0.316118,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-2.91331,0,1,1,1.08726,-1.04806,0.441071,0.0659588,-0.417079
12,20,12,5,0.331016,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-3.4075,1,0,1,1.2059,-1.07292,0.684896,0.147927,-0.234285
12,20,12,6,0.339028,14,14,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-2.5611,0,1,1,1.1735,-1.1362,0.965953,0.102064,-0.0301934
12,20,12,7,0.42739,20,20,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-3.57142,0,1,1,1.32284,-0.96442,0.341927,-0.0996695,0.0292433
12,20,12,8,0.439234,15,15,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-3.3913,0,1,1,1.54707,-1.0779,0.700637,-0.0361498,0.00852262
12,20,12,9,0.476226,22,22,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-3.4008,1,0,1,0.724859,-0.891566,0.916012,-0.204501,-0.153859
12,20,12,10,0.481807,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-3.49381,0,1,1,1.36556,-1.2715,0.575729,0.130844,-0.164167
