dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta1,beta2,beta3,beta4,beta5
0.5,0.5,0,0.0214599,15,15,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00452,0,1,1,-0.00243943,-0.132028,0,0.0404304,0
0.5,0.5,1,0.0382724,16,16,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.96113,1,0,1,-0.0483435,-0.19763,0.000521703,-0.00321652,0.0734994
0.5,0.5,2,0.0421295,21,21,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.042,0,1,1,-0.0232408,-0.296984,0.0360623,0.0210605,-0.0368499
0.5,0.5,3,0.0657263,23,23,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.03932,1,0,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,4,0.0673776,13,13,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.15135,0,1,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,5,0.0963828,8,8,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.05684,0,1,1,0,-0.257949,-0.327248,-0.0390139,-0.0565761
0.5,0.5,6,0.0980618,4,4,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98937,1,0,1,0.0435615,-0.0750374,-0.0577535,-0.0239966,0.116421
0.5,0.5,7,0.162153,20,20,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,8,0.235628,18,18,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.10534,1,0,1,0.190508,-0.152172,0.00969855,0,0
0.5,0.5,9,0.279167,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.13016,1,0,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,10,0.313739,1,1,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.15561,1,0,1,-0.0511586,-0.141474,-0.0323238,0.113231,-0.113621
0.5,0.5,11,0.34651,17,17,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.91,1,0,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,12,0.421416,3,3,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.08423,0,1,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
