dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std,beta5_avg,beta5_std
0.5,0.5,50.006,14403,-4.99995,0.00470505,1008,810,1,0.0894427,2,1.80527,2,1.75357,4,2.83549,8.67001e-05,0.00471422,-0.000251526,0.00887289,-0.000190144,0.00676193,-3.02393e-05,0.00463377,-0.000187317,0.00440847
0.5,0.5,100.006,28446,-4.99977,0.00565924,1009,1158,1,0.0948683,2,2.10523,3,1.93313,5,3.17159,0.00014203,0.00625392,-6.15813e-05,0.0102563,-0.00019889,0.0076131,0.000119443,0.00728992,2.99289e-05,0.00711881
0.5,0.5,150.006,42624,-4.99971,0.00771989,1012,2170,1,0.109545,4,2.78083,4,2.81194,8,4.82369,8.25161e-05,0.00843206,-3.46547e-05,0.0106703,-0.000152483,0.00894869,6.22392e-06,0.00927568,0.000367327,0.0094153
0.5,0.5,200.006,56768,-4.99999,0.0095651,1014,1633,1,0.126491,3,2.44377,3,2.39875,7,3.83014,0.000337411,0.00977037,-0.000439695,0.0124619,-2.95694e-06,0.0105855,9.08808e-05,0.0107698,0.000628832,0.00996773
0.5,0.5,250.006,70893,-5.00062,0.01191,1015,2608,1,0.130384,4,3.36274,4,3.15008,9,5.58077,0.000291173,0.0125479,-0.000763305,0.0133055,-1.96462e-05,0.0105981,-0.000231678,0.0115381,0.00034434,0.0100517
0.5,0.5,300.006,85058,-5.00054,0.0119181,1012,1901,1,0.134164,3,2.64896,3,2.55891,7,4.19464,0.000185792,0.0130116,-0.000612118,0.0139756,-2.53634e-05,0.0134964,-0.000616626,0.0134166,-0.000241831,0.012839
0.5,0.5,350.011,99262,-5.00036,0.0139137,1019,2871,1,0.144914,5,3.40265,4,3.44064,10,5.93228,0.000199677,0.0147625,-0.00088461,0.0150786,-6.26747e-05,0.0131837,-0.000151494,0.0157598,-0.000125642,0.0150806
0.5,0.5,400.011,113501,-5.00052,0.0142271,1019,1942,1,0.144914,3,2.70185,3,2.7,7,4.46251,-0.000172597,0.0143292,-0.00106371,0.0167943,-0.000824511,0.01633,0.000288275,0.0161315,0.000395724,0.014422
0.5,0.5,450.014,127767,-5.00059,0.0158138,1019,2912,1,0.151658,5,3.563,5,3.47707,10,6.34027,0.000271361,0.0171251,-0.000937036,0.0163165,-8.31987e-05,0.016958,0.000749553,0.0170994,0.00134065,0.0162055
0.5,0.5,500.014,142062,-5.00098,0.0174542,1024,1935,1,0.161245,3,2.78837,3,2.68123,7,4.48062,0.000309986,0.0194916,-0.00103037,0.0182391,-0.000522536,0.0177846,0.00110067,0.0173792,0.000737843,0.014989
0.5,0.5,550.014,156368,-5.001,0.0196434,1024,2886,1,0.154919,5,3.71927,5,3.5943,10,6.52779,0.000230538,0.0189168,-0.0012345,0.0192687,-0.00110506,0.0181128,0.00150759,0.0171823,-0.000118294,0.0145208
0.5,0.5,600.014,170684,-5.0014,0.0211391,1031,1883,1,0.176068,4,2.82507,3,2.81354,8,4.63239,0.000826189,0.0202567,-0.00126037,0.0216473,-0.00117264,0.020398,0.00123245,0.018494,-0.000663909,0.0155986
