dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,knot1,knot2,knot3,knot4,knot5
0.5,0.5,0,0.038162,14,14,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.0739,1,0,1,-0.0235069,-0.0414523,0.064228,0.0186607,0.0617754
0.5,0.5,1,0.0488991,24,24,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,0.0620916,-0.154068,0,0.0185645,0.00834024
0.5,0.5,2,0.078137,17,17,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.94095,1,0,1,0.0423893,-0.0691755,-0.0536995,0,-0.00453439
0.5,0.5,3,0.100413,3,3,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.12618,1,0,1,0.0710046,-0.0865752,-0.057691,0.0729638,-0.107275
0.5,0.5,4,0.109297,22,22,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.06908,1,0,1,-0.0389963,-0.164735,0.0404685,-0.000209903,-0.0445576
0.5,0.5,5,0.195047,18,18,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.96883,0,1,1,0.0620916,-0.0486834,0,-0.0262714,-0.0536374
0.5,0.5,6,0.275264,13,13,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.8505,0,1,1,-0.071744,-0.347345,-0.0137418,0.00973532,-0.0296695
0.5,0.5,7,0.313664,7,7,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.95262,1,0,1,0,-0.142668,0.0151253,-0.0126447,-0.219938
0.5,0.5,8,0.417182,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.01236,1,0,1,-0.18154,-0.0956832,0,-0.0790472,0.08954
0.5,0.5,9,0.444499,11,11,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.06928,0,1,1,0.0121192,0.0169586,-0.0352372,-0.147889,-0.0146053
0.5,0.5,10,0.46129,16,16,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.13687,0,1,1,0,-0.122449,0.109126,-0.0353626,-0.0561826
0.5,0.5,11,0.483117,12,12,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02183,1,0,1,0.0425016,-0.264684,-0.0158749,0.0328001,-0.0184371
