dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,knot1_avg,knot1_std,knot2_avg,knot2_std,knot3_avg,knot3_std,knot4_avg,knot4_std,knot5_avg,knot5_std
0.5,0.5,50.0036,14402,-4.99999,0.0026913,1005,833,1,0.0707107,2,1.83821,2,1.80056,5,2.60672,-5.45901e-05,0.00356924,7.2741e-05,0.00217337,1.15918e-05,0.00402278,-0.000314492,0.00607587,-0.000121361,0.00416529
0.5,0.5,100.004,28383,-5.00018,0.00826965,1006,1114,1,0.0774597,3,2.03568,2,2.21675,6,3.10741,-3.63879e-06,0.00936652,-0.000142542,0.00685005,7.22844e-05,0.00876879,-0.000438602,0.00731612,0.000302435,0.00919992
0.5,0.5,150.004,42470,-5.00011,0.00985453,1011,2070,1,0.114018,4,2.81638,4,2.8768,8,4.89571,-0.000114787,0.00945576,2.19973e-05,0.00869024,-6.23587e-05,0.0077755,-0.000306175,0.00908182,2.58826e-05,0.0100616
0.5,0.5,200.007,56608,-4.99997,0.011771,1014,1666,1,0.118322,3,2.40083,3,2.4368,7,3.83014,-0.000167697,0.0110705,-0.000132491,0.011751,-0.000109701,0.00888106,-0.000448021,0.00978662,-0.000670631,0.0110077
0.5,0.5,250.007,70792,-4.99994,0.0114405,1018,2626,1,0.141421,4,3.14802,4,3.24469,9,5.38275,-0.000107436,0.0112474,-2.74231e-05,0.01361,-9.59202e-05,0.0118942,-0.000354623,0.0117083,-0.000938806,0.0130353
0.5,0.5,300.007,85055,-5.00011,0.0115245,1021,1852,1,0.144914,3,2.54873,3,2.72617,7,4.19571,-0.000237216,0.0135015,-4.40585e-05,0.0158947,1.82862e-05,0.0145798,-0.000862202,0.0131333,-0.000707325,0.0132874
0.5,0.5,350.01,99297,-5.00006,0.0126752,1018,2857,1,0.141421,4,3.48124,5,3.42199,10,5.99375,2.94124e-05,0.013152,-0.000382195,0.0180131,0.000732535,0.0150868,-0.00036545,0.0128227,-0.0010587,0.0150349
0.5,0.5,400.01,113539,-4.99976,0.0143082,1019,1948,1,0.13784,3,2.74882,3,2.73295,7,4.47247,0.000503228,0.0119723,0.000105873,0.0168419,0.00119099,0.0160382,-0.000590082,0.0146601,-0.00129097,0.0169484
0.5,0.5,450.01,127739,-4.99979,0.0140961,1012,2959,1,0.109545,5,3.52761,5,3.46352,10,6.27997,0.000240078,0.0139991,0.000292024,0.015179,0.00157331,0.0178586,-0.000915495,0.0154128,-0.00112446,0.017897
0.5,0.5,500.01,141849,-4.99928,0.0146378,1010,1962,1,0.1,3,2.92592,3,2.7168,7,4.59957,0.000578858,0.0155163,0.000544875,0.0174046,0.000993861,0.018569,-0.000933679,0.0150902,-0.00127859,0.0186486
