dBroodingTime,dForagingTime,dDeathTime,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
12,4,12,0,0.00883254,10,10,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00799,0,1,1,-0.00796205,0,0,0,0.00886672
12,4,12,1,0.0457787,11,11,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99891,0,1,1,0.00299944,0,0,0,0
12,4,12,2,0.0768486,7,7,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00253,0,1,1,0.00578625,0,-0.0102323,0,0
12,4,12,3,0.141268,20,20,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,0,0.00137155,0.000956312,-0.0056814,-0.000144123
12,4,12,4,0.149775,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00243,0,1,1,0.00792914,-0.00410332,0.0061395,0,-0.00113174
12,4,12,5,0.184534,23,23,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99914,0,1,1,-0.00436754,0.0084189,0,-0.0063443,-0.00533082
12,4,12,6,0.232868,4,4,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00208,0,1,1,-0.00192685,-0.00498507,0,-0.00687281,-0.00516061
12,4,12,7,0.308974,8,8,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,1,0,1,0.00455778,0.00637628,0,0.00790296,-0.00739289
12,4,12,8,0.333713,22,22,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99397,0,1,1,0,-0.00867704,0.0051885,-0.00329913,0
12,4,12,9,0.350713,19,19,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.99701,0,1,1,0,0.00137155,-0.00151646,0.00717569,0.0136699
12,4,12,10,0.356986,15,15,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,0,0,0,0.000126183,0
12,4,12,11,0.363639,5,5,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,1,0,1,0,-0.00132262,0,-0.0225392,0.0019763
12,4,12,12,0.4432,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0,1,1,0,0,-0.00608825,-0.0181594,0.00274772
12,4,12,13,0.45073,18,18,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00607,0,1,1,0,0.00977581,0.00900537,0.00309358,-0.00136094
12,4,12,14,0.473111,6,6,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.01982,0,1,1,-0.00042861,0,0.00136625,0.0115131,-0.000723004
