dBroodingTime,dForagingTime,dDeathTime,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
4,12,12,52.0007,6927,-5.00002,0.000515608,1003,263,1,0.0547723,1,1.45293,1,1.47851,3,2.10119,-2.98409e-06,7.11604e-05,-8.98019e-07,0.000304829,-2.05934e-07,5.03316e-05,-1.87271e-05,0.000457032,-1.77839e-06,4.27887e-05
4,12,12,104,13406,-5.00001,0.000548163,1005,474,1,0.0707107,1,1.60281,1,1.59656,3,2.2891,-9.35859e-06,0.000195952,-3.00731e-06,0.00044297,1.04741e-05,0.0004487,-3.19088e-05,0.000663251,1.26826e-05,0.000427807
4,12,12,156.001,20031,-5.00001,0.000647425,1003,913,1,0.0707107,2,2.01693,2,2.02015,4,3.36972,-7.92249e-06,0.000295445,-1.60802e-05,0.000514037,4.16693e-06,0.000568644,-3.71133e-05,0.000758005,-7.96782e-06,0.000382645
4,12,12,208,26678,-5.00004,0.000693123,1007,699,1,0.083666,2,1.68849,2,1.66673,4,2.67414,9.23876e-07,0.000577077,-2.34812e-05,0.00065058,-1.21771e-08,0.000616342,-4.02985e-05,0.000960817,5.33225e-06,0.000630176
4,12,12,260.001,33355,-5.00002,0.000690782,1008,1110,1,0.0894427,2,2.26605,2,2.34329,5,3.69648,1.21465e-05,0.000722167,-1.38818e-05,0.000746889,1.31723e-05,0.000714084,-2.36125e-05,0.00102322,1.79749e-05,0.000777629
4,12,12,312.001,39961,-5.00002,0.000769222,1014,874,1,0.126491,2,1.72714,2,1.7604,4,2.80963,4.12729e-05,0.000810718,-1.41216e-05,0.000869461,2.37615e-05,0.000843995,-2.3573e-05,0.00113939,2.85606e-05,0.000856065
4,12,12,364.001,46532,-5.00003,0.000877092,1014,1282,1,0.118322,2,2.21066,2,2.29151,5,3.62381,4.6406e-05,0.00100957,-1.73643e-05,0.000835439,3.36254e-05,0.00085533,-4.42262e-05,0.00132825,4.19442e-05,0.000966246
4,12,12,416.001,53289,-5.00002,0.000916941,1018,911,1,0.134164,2,1.74871,2,1.86467,4,2.88912,6.00046e-05,0.00110499,-2.50733e-05,0.000931784,1.33476e-05,0.000856392,-1.62407e-05,0.00136761,1.02442e-05,0.00100501
4,12,12,468.001,59967,-5.00004,0.00090309,1019,1332,1,0.13784,2,2.29957,2,2.46921,5,3.77611,-6.81317e-07,0.00112235,-2.82014e-05,0.000880206,1.55902e-05,0.000802332,9.20725e-06,0.00137099,-2.35641e-06,0.00126739
4,12,12,520.001,66672,-5.00005,0.00101319,1016,936,1,0.134164,2,1.86574,2,1.96621,4,3.15801,3.48968e-05,0.00119334,-2.8662e-05,0.000899548,1.70027e-05,0.000959561,2.07327e-05,0.00137199,3.87264e-06,0.00137163
4,12,12,572.002,73345,-5.00005,0.00107202,1017,1377,1,0.158114,2,2.52883,2,2.5318,5,4.06214,1.39044e-05,0.00125938,-3.20891e-05,0.000970284,-2.30972e-06,0.00105475,1.12255e-05,0.00150236,5.09107e-06,0.00138521
4,12,12,624.001,80018,-5.00005,0.00110235,1016,1059,1,0.141421,2,2.04817,2,1.92821,4,3.25161,-4.7635e-06,0.00133171,-4.2423e-05,0.00111363,-5.67835e-06,0.00116267,3.56531e-05,0.00160524,1.23949e-05,0.00143958
4,12,12,676.001,86611,-5.00003,0.00110102,1012,1497,1,0.126491,2,2.45866,2,2.36474,5,3.95487,1.47341e-05,0.00141807,-5.95942e-05,0.00119982,4.07624e-06,0.00123582,1.75288e-05,0.00153013,9.67526e-06,0.0015407
4,12,12,728.002,93334,-5,0.00109892,1015,1027,1,0.122474,2,1.91572,2,1.95934,4,3.24423,5.38668e-05,0.00150658,-6.94392e-05,0.00123234,5.66181e-06,0.00145365,-3.06853e-05,0.00167022,3.64394e-06,0.00142997
4,12,12,780.001,99985,-4.99999,0.00118242,1011,1430,1,0.104881,2,2.43146,2,2.46962,5,4.02976,2.59896e-05,0.00158727,-6.77957e-05,0.00131655,-1.82466e-06,0.001491,-5.10187e-05,0.00181026,-6.41778e-06,0.00157478
4,12,12,832.001,106686,-5.00001,0.00118757,1015,1028,1,0.122474,2,2.02089,2,2.0664,4,3.39264,2.1447e-06,0.00160671,-7.713e-05,0.00130539,1.46512e-05,0.0016162,-2.73181e-05,0.00179654,3.65255e-05,0.00172192
4,12,12,884.001,113297,-5.00005,0.00127001,1018,1433,1,0.141421,2,2.54264,2,2.4682,5,4.05574,2.58778e-05,0.00169993,-8.4145e-05,0.00150647,-3.99843e-05,0.00153028,-8.20996e-05,0.00191575,3.70303e-05,0.0017286
4,12,12,936.001,119947,-5.00005,0.00130708,1017,1063,1,0.130384,2,2.10381,2,2.03396,5,3.31014,2.8555e-05,0.00173737,-0.0001017,0.00155849,-3.09105e-05,0.00148971,-6.67086e-05,0.00191571,2.34626e-05,0.0017797
4,12,12,988.001,126649,-5.00003,0.00135233,1018,1512,1,0.134164,3,2.40499,2,2.50839,6,4.0802,3.80887e-05,0.00175792,-0.000118134,0.00166564,-3.56579e-05,0.00152644,-4.12886e-05,0.00196162,4.93637e-05,0.00174789
4,12,12,1040,133355,-5.00008,0.00140769,1017,1174,1,0.130384,2,2.22284,2,2.18037,5,3.51098,6.12594e-05,0.00183601,-0.000124927,0.0017069,-5.19232e-05,0.0015135,-3.25706e-05,0.00197442,4.01009e-05,0.00180189
4,12,12,1092,139985,-5.00007,0.00149608,1017,1575,1,0.130384,3,2.37718,3,2.42322,6,4.12929,8.23489e-05,0.0018884,-0.000111291,0.00180214,-5.15604e-05,0.00151034,-5.28079e-05,0.00213951,6.0928e-05,0.00183358
4,12,12,1144,146624,-5.00005,0.00148318,1017,1145,1,0.13784,2,2.0938,2,2.28342,5,3.51255,5.11493e-05,0.00196699,-5.41463e-05,0.00174539,-6.84054e-05,0.0015622,-3.19723e-05,0.00215373,8.4482e-05,0.00183461
4,12,12,1196,153300,-5.00006,0.00152704,1016,1568,1,0.134164,3,2.41868,3,2.48958,6,4.28182,3.42941e-05,0.00197062,-6.61063e-05,0.00180254,-3.83944e-05,0.0015407,-2.74477e-05,0.00226126,9.00899e-05,0.00192444
4,12,12,1248,160024,-5.0001,0.00160629,1013,1159,1,0.130384,2,2.29935,2,2.32271,5,3.65623,3.89827e-05,0.00197602,-2.03139e-05,0.00194053,-7.00901e-05,0.00165416,-5.65342e-07,0.00231954,5.24085e-05,0.00190279
4,12,12,1300,166664,-5.0001,0.00167831,1014,1607,1,0.118322,3,2.47629,3,2.53909,6,4.25312,3.63823e-05,0.00196573,-2.56976e-05,0.00191599,-7.4351e-05,0.00167858,5.81907e-05,0.00228265,1.89715e-05,0.00187043
4,12,12,1352,173330,-5.00004,0.00172113,1016,1257,1,0.126491,2,2.26075,2,2.29412,5,3.55893,3.3672e-05,0.00200475,-2.48888e-05,0.00179214,-2.34722e-05,0.00162965,9.77722e-05,0.00211519,-2.7944e-05,0.00196027
4,12,12,1404,179955,-5.00002,0.00175808,1013,833,1,0.114018,2,1.73666,2,1.70059,4,2.69889,0.000125469,0.00190811,-3.44802e-05,0.00184324,-5.20482e-06,0.00154485,6.37125e-05,0.0022014,4.64695e-06,0.00192634
4,12,12,1456,186586,-5.00006,0.00186825,1014,1272,1,0.118322,2,2.28823,2,2.16217,5,3.54923,0.000165285,0.00191064,-8.08448e-05,0.0018837,9.78894e-06,0.00157355,0.000101828,0.00221658,2.09513e-06,0.00201192
4,12,12,1508,193217,-5.00004,0.00190328,1015,853,1,0.122474,2,1.6944,2,1.59499,4,2.65123,0.000128152,0.00185007,-6.01728e-05,0.0018372,-1.12611e-05,0.00162927,0.00013232,0.00226929,-1.86536e-05,0.00218202
4,12,12,1560,199897,-5.00009,0.00206441,1015,1251,1,0.122474,2,2.35797,2,2.27156,5,3.70702,0.00013892,0.00191437,-5.05942e-05,0.00189785,-3.96003e-05,0.00166943,0.00016057,0.00228197,-6.28224e-05,0.00216551
4,12,12,1612,206535,-5.00007,0.00207087,1013,933,1,0.114018,2,1.86145,2,1.86869,4,3.00716,0.00016972,0.00192948,-9.90973e-05,0.00193007,-3.59598e-05,0.00177078,0.000135554,0.00235394,-4.7625e-05,0.00218253
4,12,12,1664,213107,-5,0.00208999,1014,1377,1,0.118322,2,2.31582,2,2.32034,5,3.74927,0.000133741,0.00186894,-8.64121e-05,0.00191174,-7.99784e-05,0.00178779,0.000139453,0.00246581,2.65365e-05,0.00221098
4,12,12,1716,219732,-5.00001,0.00211823,1016,987,1,0.141421,2,1.80111,2,1.83875,4,2.91976,0.000186187,0.00189614,-0.000130064,0.00195768,-8.57969e-05,0.00181247,9.12348e-05,0.00243671,4.89548e-05,0.0022392
4,12,12,1768,226412,-5.00003,0.00213257,1020,1433,1,0.154919,2,2.36411,2,2.33602,5,3.79315,0.000162702,0.00193557,-0.000140626,0.00193487,-0.000110456,0.00177875,0.000121779,0.00239917,3.85831e-06,0.00223358
4,12,12,1820,233068,-5.00002,0.00218911,1022,991,1,0.167332,2,1.91859,2,1.93985,4,3.24746,0.000146504,0.00195596,-0.000158178,0.00194934,-7.50657e-05,0.00181197,0.000136139,0.0024103,9.25277e-06,0.00229402
4,12,12,1872,239737,-5.00003,0.0022582,1019,1400,1,0.158114,2,2.39958,2,2.45886,5,3.94259,0.000157626,0.00211005,-0.000191144,0.00191204,-9.58165e-05,0.00184982,0.000105572,0.00243415,5.74036e-06,0.00232253
4,12,12,1924,246469,-5,0.00228741,1016,1053,1,0.141421,2,1.88865,2,2.04181,4,3.17774,0.000161559,0.00214317,-0.000190894,0.00191747,-5.51382e-05,0.0019106,0.000104733,0.00252454,3.35146e-06,0.00231781
4,12,12,1976,253092,-5.00001,0.00235738,1011,1478,1,0.122474,2,2.50938,2,2.42301,5,3.94892,0.000138043,0.00213065,-0.000122393,0.00194128,-2.22626e-05,0.00197769,0.000113871,0.00250818,-3.65347e-05,0.00239453
4,12,12,2028,259680,-4.99999,0.00222975,1013,1108,1,0.122474,2,1.9308,2,1.86145,4,3.12458,0.000118593,0.00210001,-0.000151957,0.00187011,-3.1617e-05,0.00202314,0.000160716,0.00248532,-1.60014e-05,0.00242829
4,12,12,2080,266403,-5.00001,0.00213266,1012,1524,1,0.118322,2,2.40312,2,2.42281,5,3.85318,8.06649e-05,0.00218733,-0.000174635,0.00184655,-4.98339e-05,0.00196894,8.6028e-05,0.00248311,-5.70413e-05,0.00245037
4,12,12,2132,273074,-5,0.00220649,1011,1090,1,0.114018,2,2.0015,2,2.03224,5,3.19719,4.4954e-05,0.00223829,-0.000165001,0.00206489,-3.79587e-05,0.00203714,0.000121813,0.00245119,-1.15085e-05,0.00243445
4,12,12,2184,279719,-5.00005,0.00221823,1012,1509,1,0.126491,2,2.48777,2,2.49078,5,4.01958,5.25875e-05,0.0023492,-0.000146342,0.00220544,3.29772e-05,0.00202748,0.000113748,0.00239993,-6.0106e-05,0.00247517
4,12,12,2236,286407,-5.00004,0.00221357,1015,1109,1,0.130384,2,2.00923,2,2.15035,5,3.23342,4.45273e-05,0.00241012,-9.63292e-05,0.00222105,5.40177e-05,0.00208329,8.59064e-05,0.00240916,-3.87597e-05,0.00246833
4,12,12,2288,293045,-5.00007,0.00224539,1016,1584,1,0.134164,3,2.30087,2,2.56574,5,4.07738,9.19752e-06,0.0024543,-0.000136789,0.00233288,8.24346e-05,0.00211808,3.71568e-07,0.00260023,2.81323e-06,0.00249494
4,12,12,2340,299701,-5,0.00236428,1014,1185,1,0.118322,2,2.13963,2,2.1019,5,3.33916,-1.70766e-05,0.00259607,-0.000156202,0.00245616,-4.44865e-06,0.00211775,9.63944e-06,0.00270353,6.94311e-05,0.00251013
4,12,12,2392,306249,-4.99999,0.00234904,1016,1629,1,0.134164,2,2.54047,2,2.496,5,4.10804,-1.12679e-05,0.0025765,-0.000223758,0.00257346,-3.06309e-05,0.00203823,-6.08855e-06,0.00280999,1.65124e-05,0.0025534
4,12,12,2444,312914,-5,0.00236186,1012,1180,1,0.126491,2,2.13892,2,2.18929,5,3.45225,-1.12291e-06,0.0025137,-0.000182981,0.00249872,-2.92755e-05,0.00209961,-2.49326e-05,0.00283425,9.34561e-05,0.00260642
4,12,12,2496,319574,-5.0001,0.00236354,1013,1568,1,0.114018,2,2.59885,2,2.56184,5,4.24464,-1.98529e-05,0.00252386,-0.000220571,0.00253726,-1.49235e-05,0.0022172,-2.95791e-05,0.00295516,8.64853e-05,0.00267886
4,12,12,2548,326236,-5.0001,0.00242246,1012,1158,1,0.109545,2,2.16241,2,2.15801,5,3.39632,-3.28948e-05,0.0025544,-0.000186109,0.00258348,3.48879e-05,0.00217347,-8.70314e-05,0.0029613,0.000103081,0.00277668
4,12,12,2600,332926,-5.00011,0.00244678,1014,1600,1,0.118322,3,2.34691,3,2.37718,6,4.08326,1.57039e-05,0.00244626,-0.000138218,0.00269487,6.31712e-05,0.00222141,-7.76064e-05,0.00311084,0.000149684,0.00285704
4,12,12,2652,339563,-5.00014,0.00237606,1014,1212,1,0.118322,2,2.26958,2,2.28758,5,3.63868,8.17173e-05,0.00237806,-0.00012448,0.00265717,8.21854e-05,0.00222796,-4.8862e-06,0.0032167,0.000187026,0.0029086
4,12,12,2704,346278,-5.00016,0.00238176,1018,840,1,0.134164,2,1.68137,2,1.63156,4,2.67264,9.91139e-05,0.00236247,-6.47613e-05,0.00262057,0.000105298,0.00228686,3.74417e-06,0.0032226,0.000162393,0.00287732
4,12,12,2756,352946,-5.00015,0.00237973,1016,1277,1,0.126491,2,2.29848,2,2.34691,5,3.73296,7.76198e-05,0.00249366,-6.17816e-05,0.00261906,0.000132075,0.00240098,5.17378e-05,0.00315367,0.000149585,0.00288842
4,12,12,2808,359590,-5.00014,0.00230092,1019,900,1,0.13784,2,1.69027,2,1.73781,4,2.72562,8.65593e-05,0.00247407,-7.31426e-05,0.00264348,0.000107247,0.00242969,3.00185e-05,0.00320048,0.000174731,0.00290946
4,12,12,2860,366242,-5.00015,0.00232406,1016,1344,1,0.126491,2,2.30955,2,2.32594,5,3.72398,0.000124573,0.00252918,-5.93123e-05,0.00268843,4.65082e-05,0.00244196,6.76951e-06,0.00317461,0.000197313,0.00288093
4,12,12,2912,372920,-5.0001,0.00228412,1015,877,1,0.122474,2,1.886,2,1.74871,4,2.97506,0.000112038,0.0026378,-0.000129288,0.00277815,-8.48539e-06,0.00241247,-6.97914e-05,0.00312439,0.000229417,0.0029405
4,12,12,2964,379545,-5.00014,0.00230948,1015,1291,1,0.122474,2,2.40853,2,2.32766,5,3.7888,7.67272e-05,0.00269055,-9.84981e-05,0.00283455,-3.69103e-05,0.00244369,-8.03868e-05,0.00313909,0.000176385,0.00296768
4,12,12,3016,386228,-5.00015,0.00231714,1016,952,1,0.126491,2,1.89605,2,1.76153,4,2.90379,7.58538e-05,0.00284809,-0.000109759,0.00284111,-7.26079e-05,0.00245822,-8.09082e-05,0.00315919,0.000230598,0.00298266
