X,dbt,dft,rp,evolution,lou,deadInd,condition
1,4,4,1,1,1,1,lb_lf
2,12,4,1,1,1,1,mb_lf
3,20,4,1,1,1,1,hb_lf
4,4,12,1,1,1,1,lb_mf
5,12,12,1,1,1,1,mb_mf
6,20,12,1,1,1,1,hb_mf
7,4,20,1,1,1,1,lb_hf
8,12,20,1,0,0,0,NA
9,20,20,1,0,0,0,NA
10,4,4,2,0,0,0,NA
11,12,4,2,0,0,0,NA
12,20,4,2,0,0,0,NA
13,4,12,2,0,0,0,NA
14,12,12,2,0,0,0,NA
15,20,12,2,0,0,0,NA
16,4,20,2,1,1,1,lb_hf
17,12,20,2,1,1,1,mb_hf
18,20,20,2,1,1,1,hb_hf
19,4,4,3,1,1,1,lb_lf
20,12,4,3,1,1,1,mb_lf
21,20,4,3,1,1,1,hb_lf
22,4,12,3,0,0,0,NA
23,12,12,3,1,1,1,mb_mf
24,20,12,3,1,1,1,hb_mf
25,4,20,3,1,1,1,lb_hf
26,12,20,3,0,0,0,NA
27,20,20,3,0,0,0,NA
