dBroodingTime,dForagingTime,dDeathTime,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
4,4,12,52.0008,12846,-5.00001,0.000426197,1005,711,1,0.0707107,2,1.65257,2,1.75613,4,2.62736,-3.08891e-05,0.000509318,-3.71355e-06,0.000117173,-5.40008e-06,0.000207706,-7.96552e-06,0.000157082,7.97145e-06,0.000553127
4,4,12,104.001,25711,-4.99999,0.000807756,1005,1057,1,0.0948683,2,2.07147,2,2.16495,5,3.14006,-4.07442e-05,0.000782468,-1.05669e-05,0.00039454,-1.36646e-05,0.000566045,7.29903e-06,0.000402353,2.8235e-05,0.000826172
4,4,12,156.001,38602,-5.00003,0.00108271,1007,1924,1,0.083666,3,2.80143,4,2.7388,8,4.58334,9.45749e-06,0.000799518,-1.46561e-05,0.00075903,3.8796e-05,0.000731325,-2.91047e-05,0.000879559,-3.06799e-05,0.00118198
4,4,12,208.001,51528,-5.00002,0.00117837,1011,1545,1,0.104881,3,2.38181,3,2.30998,6,3.82949,2.00255e-05,0.000903542,-2.29609e-05,0.00086216,2.87908e-05,0.000837886,-5.49289e-05,0.00102704,-8.19426e-05,0.00117909
4,4,12,260.001,64490,-5.00003,0.00134695,1013,2438,1,0.114018,4,3.08658,4,3.12474,9,5.24871,1.11622e-05,0.00108626,1.19647e-05,0.00101785,-1.63327e-06,0.000848796,-7.09483e-05,0.00125611,-8.71263e-05,0.00130791
4,4,12,312.001,77451,-4.99997,0.00135208,1014,1831,1,0.118322,3,2.52982,3,2.52012,7,4.01784,4.68088e-05,0.001182,3.42692e-05,0.00119753,-5.89706e-06,0.00104603,-7.12054e-05,0.00145758,-0.000103137,0.00153418
4,4,12,364.001,90444,-4.99996,0.00146854,1016,2731,1,0.126491,4,3.11689,4,3.1569,9,5.36684,4.62175e-05,0.0013766,2.88482e-05,0.00121279,9.66455e-06,0.00119908,-5.34963e-05,0.00155387,-8.60599e-05,0.00161461
4,4,12,416.001,103478,-4.99994,0.00138971,1016,2020,1,0.126491,3,2.71441,3,2.63192,7,4.25594,4.17631e-05,0.00145947,4.04735e-05,0.00133823,-4.19084e-06,0.00128707,-1.39295e-05,0.00167218,-0.000113579,0.00180754
4,4,12,468.001,116492,-4.99995,0.00153264,1017,2914,1,0.130384,4,3.34784,4,3.24607,9,5.57467,6.77642e-05,0.00156891,4.337e-05,0.00140395,3.76425e-05,0.00140221,-6.70633e-06,0.00173212,-0.000126189,0.00175762
4,4,12,520.001,129487,-4.99992,0.00170384,1018,2020,1,0.134164,4,2.68626,3,2.7439,7,4.58028,3.55137e-05,0.00160051,2.37918e-05,0.0013189,4.637e-05,0.00152505,-2.1307e-05,0.00186102,-0.000175323,0.00181916
4,4,12,572.001,142510,-4.99988,0.00176164,1018,2892,1,0.141421,4,3.38038,4,3.24022,9,5.72975,-1.65495e-05,0.00154602,7.60253e-05,0.00149701,3.00653e-05,0.00149539,-4.9875e-06,0.00194921,-0.000199363,0.0019111
4,4,12,624.001,155525,-4.99991,0.0018542,1018,2080,1,0.134164,4,2.71735,4,2.64424,8,4.51796,-7.75745e-05,0.00169174,8.61057e-05,0.00162054,2.50792e-05,0.00167002,3.47841e-06,0.00203867,-0.00015816,0.00205676
