dBroodingTime,dForagingTime,dDeathTime,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
20,12,12,0,0.000425953,12,12,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0,1,1,0,0,0.0013483,0,0
20,12,12,1,0.112904,5,5,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0,1,1,0,-0.00758079,0,0.0137014,-0.00394754
20,12,12,2,0.181087,10,10,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,1,0,1,0,0,0,0,0
20,12,12,3,0.191512,11,11,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,0,0,0,-0.00084531,0
20,12,12,4,0.221979,20,20,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,0,1,1,0,0.00130449,-0.00625349,0,0
20,12,12,5,0.254461,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,0.00566451,0,-0.00286621,0.00215913,0.00249261
20,12,12,6,0.347386,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,5.87475e-05,0,0,0.00387831,0
20,12,12,7,0.432909,4,4,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.9963,0,1,1,0.0025419,0,0.00120695,0.00408765,0
20,12,12,8,0.452791,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00076,1,0,1,0,0,0,0,0.00928565
20,12,12,9,0.49523,3,3,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,1,0,1,-0.00147899,0,0,-0.00455403,0
20,12,12,10,0.500648,21,21,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99898,1,0,1,0,-0.00831011,-0.00163648,0,0
20,12,12,11,0.503753,17,17,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,1,0,1,0,0.00122859,-0.00286764,0,0
20,12,12,12,0.515923,14,14,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,1,1,-0.002679,0,-0.00160787,0,0
20,12,12,13,0.608248,19,19,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,1,0,1,0,-0.00485962,0.00292004,0.00522602,0.00660739
