"X","dbt","dft","rp","evolution","lou","deadInd","condition"
1,4,4,1,1,1,1,""
2,12,4,1,1,1,1,""
3,20,4,1,1,1,1,""
4,4,12,1,1,1,1,""
5,12,12,1,0,0,0,NA
6,20,12,1,0,0,0,NA
7,4,20,1,0,0,0,NA
8,12,20,1,0,0,0,NA
9,20,20,1,1,1,1,""
10,4,4,2,1,1,1,""
11,12,4,2,0,0,0,NA
12,20,4,2,0,0,0,NA
13,4,12,2,1,1,1,""
14,12,12,2,0,0,0,NA
15,20,12,2,1,1,1,""
16,4,20,2,1,1,1,""
17,12,20,2,1,1,1,""
18,20,20,2,0,0,0,NA
19,4,4,3,1,1,1,""
20,12,4,3,0,0,0,NA
21,20,4,3,1,1,1,""
22,4,12,3,1,1,1,""
23,12,12,3,0,0,0,NA
24,20,12,3,1,1,1,""
25,4,20,3,0,0,0,NA
26,12,20,3,0,0,0,NA
27,20,20,3,1,1,1,""
