dBroodingTime,dForagingTime,dDeathTime,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
12,4,12,52.0048,6934,-5.00003,0.000618193,1004,366,1,0.0632456,1,1.07889,1,1.05119,2,1.46595,-1.96388e-06,0.00022693,1.66774e-05,0.000392565,7.60991e-06,0.000241007,8.98752e-07,0.00048923,1.5301e-06,0.000271051
12,4,12,104.005,13497,-5.00004,0.000688869,1006,480,1,0.0774597,1,1.30652,1,1.26531,3,1.59937,4.14179e-06,0.000708594,3.53563e-05,0.000599294,5.10938e-06,0.000476204,1.33313e-05,0.000553788,4.90078e-06,0.000288978
12,4,12,156.001,20042,-5.00004,0.000797446,1007,911,1,0.083666,2,1.6769,2,1.57448,4,2.4164,-1.48279e-07,0.000756316,5.02191e-05,0.000659374,2.1107e-05,0.000527254,-8.29871e-06,0.000656316,3.01876e-06,0.000433049
12,4,12,208.001,26576,-5.00003,0.000902291,1007,772,1,0.0948683,2,1.49833,1,1.71085,4,2.01594,-1.50479e-05,0.000826732,6.85015e-05,0.000785169,4.93829e-06,0.00073339,3.31441e-07,0.000768256,5.23537e-06,0.000524275
12,4,12,260.001,33204,-5,0.00100273,1010,1204,1,0.1,2,2.02855,2,1.96749,5,2.9,-4.87346e-06,0.00108273,6.37417e-05,0.000753332,-4.91443e-06,0.000816991,-1.95495e-05,0.000892417,-2.65591e-06,0.000727169
12,4,12,312.005,39787,-5.00003,0.00117187,1010,895,1,0.1,2,1.62358,2,1.49097,4,2.27046,-9.48256e-06,0.00113592,6.47521e-05,0.000816573,1.74334e-06,0.000889933,-6.33919e-06,0.000927198,2.7306e-05,0.000875319
12,4,12,364.009,46392,-5.00003,0.00117262,1012,1284,1,0.109545,2,2.10974,2,2.04939,5,3.05205,1.2841e-05,0.00126119,5.78764e-05,0.000836975,-1.09061e-06,0.000886768,6.90429e-06,0.00110498,4.23458e-05,0.000962467
12,4,12,416.001,52912,-5.00005,0.00124627,1012,921,1,0.109545,2,1.62111,2,1.5928,4,2.41267,3.14362e-05,0.00134501,7.34034e-05,0.000921677,4.10331e-06,0.000980035,-1.71046e-05,0.00118088,2.29686e-05,0.00102032
12,4,12,468.001,59481,-5.00005,0.00136405,1014,1345,1,0.126491,2,2.19226,2,2.09404,5,3.18104,3.55568e-05,0.00134586,7.42546e-05,0.000940505,-1.02584e-05,0.00106757,-1.09672e-05,0.00113869,-1.66836e-06,0.00109309
12,4,12,520.001,66138,-5.00007,0.00142267,1013,980,1,0.114018,2,1.63677,2,1.67183,4,2.56203,3.94506e-05,0.0012414,0.000109006,0.00112019,-1.45103e-05,0.00101763,-2.60106e-05,0.00125061,-2.89786e-05,0.00114425
12,4,12,572.001,72738,-5.00007,0.0014265,1012,1431,1,0.109545,2,2.1166,2,2.23002,5,3.23033,6.50238e-06,0.00122916,5.86778e-05,0.00106086,-5.41558e-07,0.00117578,-3.47512e-05,0.00141414,-6.22188e-05,0.0012139
12,4,12,624.001,79276,-5.0001,0.00152634,1012,1044,1,0.109545,2,1.66072,2,1.70441,4,2.56184,-1.09493e-05,0.00124921,6.21551e-05,0.00108453,-1.11224e-05,0.00106137,-3.59346e-05,0.00156908,-5.56539e-05,0.00136042
12,4,12,676.009,85895,-5.00012,0.00153404,1010,1501,1,0.1,2,2.19977,3,1.99274,5,3.34664,2.24692e-05,0.00141595,7.55069e-05,0.0012592,-1.93815e-06,0.0011589,-4.53899e-05,0.00168468,-7.62941e-05,0.00124081
12,4,12,728.007,92427,-5.00012,0.0016112,1011,1124,1,0.104881,2,1.71289,2,1.75328,4,2.71183,4.09015e-05,0.00145258,7.76053e-05,0.00126547,-1.673e-05,0.0012485,-5.16133e-05,0.00169234,-9.43938e-05,0.00136595
12,4,12,780.009,98963,-5.0001,0.00167034,1012,1556,1,0.118322,2,2.20907,3,2.05524,6,3.23357,4.50988e-05,0.00152624,0.000113977,0.00124542,-6.78497e-05,0.0014412,-5.69329e-05,0.00174078,-9.06001e-05,0.0014111
12,4,12,832.007,105474,-5.0001,0.00175035,1012,1124,1,0.118322,2,1.79053,2,1.94576,5,2.7408,6.47577e-05,0.00151488,0.000105524,0.00135364,-7.70632e-05,0.0014828,-0.00010358,0.00192829,-8.80129e-05,0.00143502
12,4,12,884.009,112054,-5.00017,0.00188649,1012,1588,1,0.109545,3,2.11258,3,2.07244,6,3.41848,9.27143e-05,0.00146464,9.31266e-05,0.0014699,-7.93647e-05,0.00151812,-0.000107083,0.00204836,-0.000113616,0.00162618
12,4,12,936.009,118702,-5.00014,0.00193312,1016,1191,1,0.126491,2,1.86145,2,1.81769,5,2.74572,5.58113e-05,0.00157551,8.9959e-05,0.00155181,-5.70699e-05,0.00162368,-6.08781e-05,0.00205565,-9.35372e-05,0.00156086
12,4,12,988.009,125286,-5.00007,0.00186495,1017,1652,1,0.130384,2,2.29478,2,2.27464,5,3.51397,7.13595e-05,0.00171875,6.35318e-05,0.00152552,-5.55684e-05,0.00165029,-6.04287e-05,0.00210399,-4.87971e-05,0.00153645
12,4,12,1040.01,131951,-5.00002,0.00199246,1012,1163,1,0.118322,2,1.81797,2,1.91181,5,2.78065,0.000104712,0.001762,7.59823e-05,0.00150307,-5.49519e-05,0.00154255,-7.27988e-05,0.00211816,-3.03958e-06,0.00165513
12,4,12,1092.01,138545,-5.00005,0.00199655,1016,1636,1,0.126491,2,2.2634,3,2.07196,6,3.26772,7.38902e-05,0.00172643,0.000100886,0.00153298,-4.77026e-05,0.00160528,-0.000109374,0.00221375,1.61169e-05,0.00173285
12,4,12,1144.01,145144,-5.00007,0.00203128,1015,1169,1,0.130384,2,1.86118,2,1.96418,5,2.74882,7.18809e-05,0.00182094,0.000125972,0.0015571,-9.21577e-05,0.00163957,-0.000110561,0.00228827,2.46185e-05,0.00180451
12,4,12,1196.01,151818,-5.00007,0.00197165,1016,1638,1,0.126491,3,2.08878,2,2.27794,5,3.52874,6.33997e-05,0.00193186,0.000132202,0.0016138,-8.02557e-05,0.00149483,-0.000108945,0.00229228,3.24496e-06,0.00181946
12,4,12,1248.01,158416,-5.00003,0.00201291,1017,1233,1,0.13784,2,1.89552,2,1.87883,5,2.72855,7.00898e-05,0.00195335,0.000176557,0.00154017,-9.59849e-05,0.0015489,-5.80749e-05,0.00226934,-2.10958e-05,0.00180233
12,4,12,1300.01,165116,-5.00002,0.00210273,1018,1715,1,0.141421,3,2.07581,3,2.06083,6,3.35946,7.12004e-05,0.0019654,0.000151706,0.00162189,-0.00011354,0.0015828,-8.79019e-05,0.00224344,1.15046e-05,0.00181027
12,4,12,1352.01,171714,-5,0.00221041,1015,1268,1,0.122474,2,1.98293,2,2.03715,5,2.93223,4.64216e-05,0.00184924,0.000203326,0.00168973,-0.000139115,0.00161088,-0.000122293,0.00235184,-5.92917e-06,0.00185064
12,4,12,1404.01,178317,-4.99998,0.00225072,1015,797,1,0.130384,2,1.54564,2,1.5103,4,2.18815,1.70266e-05,0.00178052,0.000163575,0.00172598,-0.000100226,0.00165932,-0.000114339,0.00233236,3.17865e-05,0.00188431
