dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,1,0,0.0300628,3,3,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0.0158072,-0.0843584,1,0,1
0.5,1,1,0.192916,23,23,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.96746,0.0727422,0,1,0,1
0.5,1,2,0.245143,22,22,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.797,0,-0.0599682,1,0,1
0.5,1,3,0.258358,4,4,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.15306,-0.0100077,-0.00121488,0,1,1
0.5,1,4,0.29002,14,14,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00337,0.0832363,-0.0122447,1,0,1
0.5,1,5,0.323963,20,20,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.90508,0.0907205,-0.0629287,0,1,1
0.5,1,6,0.368161,7,7,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.95837,0.0458628,-0.0311288,1,0,1
0.5,1,7,0.423011,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02138,-0.104258,0.0192399,0,1,1
0.5,1,8,0.425503,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.97697,-0.0977616,-0.099632,0,1,1
0.5,1,9,0.511725,18,18,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.96296,0.0443442,-0.0647547,1,0,1
0.5,1,10,0.523437,17,17,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.85499,-0.0579853,-0.0106086,0,1,1
0.5,1,11,0.532792,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.9612,-0.0769498,-0.0545768,0,1,1
0.5,1,12,0.603772,1,1,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.01783,0,0,1,0,1
0.5,1,13,0.630713,12,12,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.03241,0.039821,-0.0519771,1,0,1
0.5,1,14,0.641107,19,19,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.9779,0.0653764,-0.0461524,1,0,1
0.5,1,15,0.681581,6,6,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.82601,0,-0.0545768,0,1,1
0.5,1,16,0.764342,10,10,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.05059,0.028403,-0.0334497,1,0,1
0.5,1,17,0.804904,24,24,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.96503,0.0558316,0.0780217,1,0,1
0.5,1,18,0.831102,15,15,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.05863,0.0127915,-0.000727029,0,1,1
0.5,1,19,0.855455,13,13,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.06782,0.0562335,-0.12991,1,0,1
0.5,1,20,0.905489,5,5,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.97351,-0.0324419,-0.0390477,0,1,1
0.5,1,21,0.910562,9,9,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.88412,-0.00674325,-0.0102847,0,1,1
0.5,1,22,0.935303,11,11,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.03818,-0.0087936,-0.041905,0,1,1
0.5,1,23,0.961275,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.04517,0.15726,0.025877,0,1,1
0.5,1,24,0.969913,21,21,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.93527,0.0871568,-0.00588109,1,0,1
0.5,1,25,2.4255,0,0,-1,-1,1,-1,1,1,1,0,0,1,0,0,2.4255,-4.97697,-0.0977616,-0.099632,0,1,0
0.5,1,26,2.8311,15,15,-1,-1,1,-1,0,0,1,0,0,1,0,0,2.8311,-5.05863,0.0127915,-0.000727029,0,1,0
0.5,1,27,3.19292,23,23,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.96746,0.0727422,0,0,0,1
0.5,1,28,3.24514,22,22,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.797,0,-0.0599682,1,0,1
0.5,1,29,3.51173,18,18,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-4.96296,0.0443442,-0.0647547,0,0,1
0.5,1,30,3.52344,17,17,-1,-1,1,-1,1,1,1,0,0,1,0,1,-1,-4.85499,-0.0579853,-0.0106086,0,0,1
0.5,1,31,3.60377,1,1,-1,-1,1,-1,1,1,1,0,1,1,0,1,-1,-5.01783,0,0,1,0,1
0.5,1,32,3.63071,12,12,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-5.03241,0.039821,-0.0519771,0,0,1
0.5,1,33,3.64111,19,19,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.9779,0.0653764,-0.0461524,0,0,1
0.5,1,34,3.91056,9,9,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.88412,-0.00674325,-0.0102847,0,0,1
0.5,1,35,3.9353,11,11,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-5.03818,-0.0087936,-0.041905,0,0,1
0.5,1,36,3.96991,21,21,-1,-1,1,-1,1,0,1,0,1,1,0,1,-1,-4.93527,0.0871568,-0.00588109,0,0,1
0.5,1,37,4.03006,3,3,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5,0.0158072,-0.0843584,2,0,1
0.5,1,38,4.25836,4,4,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.15306,-0.0100077,-0.00121488,1,1,1
0.5,1,39,4.29002,14,14,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.00337,0.0832363,-0.0122447,1,1,1
0.5,1,40,4.32396,20,20,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.90508,0.0907205,-0.0629287,1,1,1
0.5,1,41,4.36816,7,7,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-4.95837,0.0458628,-0.0311288,1,1,1
0.5,1,42,4.42301,2,2,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.02138,-0.104258,0.0192399,0,2,1
0.5,1,43,4.53279,8,8,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.9612,-0.0769498,-0.0545768,0,2,1
0.5,1,44,4.68158,6,6,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.82601,0,-0.0545768,0,2,1
0.5,1,45,4.76434,10,10,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.05059,0.028403,-0.0334497,1,1,1
0.5,1,46,4.8049,24,24,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-4.96503,0.0558316,0.0780217,1,1,1
0.5,1,47,4.85545,13,13,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.06782,0.0562335,-0.12991,2,0,1
0.5,1,48,4.90549,5,5,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.97351,-0.0324419,-0.0390477,1,1,1
0.5,1,49,4.96128,16,16,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.04517,0.15726,0.025877,0,2,1
0.5,1,50,6.51173,18,18,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-4.96296,0.0443442,-0.0647547,0,0,1
0.5,1,51,6.52344,17,17,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-4.85499,-0.0579853,-0.0106086,0,0,1
0.5,1,52,6.60377,1,1,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-5.01783,0,0,0,0,1
0.5,1,53,7.19292,23,23,-1,-1,1,-1,0,0,2,1,1,1,0,1,-1,-4.96746,0.0727422,0,1,0,1
0.5,1,54,7.24514,22,22,-1,-1,1,-1,0,0,2,1,1,1,0,1,-1,-4.797,0,-0.0599682,1,1,1
0.5,1,55,7.29002,14,14,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-5.00337,0.0832363,-0.0122447,1,0,1
0.5,1,56,7.32396,20,20,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-4.90508,0.0907205,-0.0629287,0,1,1
0.5,1,57,7.53279,8,8,-1,-1,1,-1,1,1,2,0,0,2,0,1,-1,-4.9612,-0.0769498,-0.0545768,0,2,1
0.5,1,58,7.63071,12,12,-1,-1,1,-1,0,1,2,1,1,1,0,1,-1,-5.03241,0.039821,-0.0519771,0,1,1
0.5,1,59,7.64111,19,19,-1,-1,1,-1,0,0,2,1,1,1,0,1,-1,-4.9779,0.0653764,-0.0461524,1,0,1
0.5,1,60,7.68158,6,6,-1,-1,1,-1,1,1,2,0,0,2,0,1,-1,-4.82601,0,-0.0545768,0,2,1
0.5,1,61,7.76434,10,10,-1,-1,1,-1,1,0,2,0,1,2,0,1,-1,-5.05059,0.028403,-0.0334497,1,1,1
