dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,10.0015,3152,-4.41826e-06,0.000139368,-6.34069e-05,0.00155766,-4.99999,0.000333929,996,273,0,1.001,0,1.10499,0,1.07796,1,1.20789
0.5,1,20.0028,6105,-0.000119824,0.00394121,-0.000105896,0.00206292,-4.99999,0.00206615,1004,577,1,0.0632456,1,1.06207,1,1.10363,2,1.58556
0.5,1,30.0028,9010,-0.000321826,0.00575129,5.41981e-05,0.00536815,-5.00003,0.00256056,1004,931,1,0.0894427,1,1.2946,1,1.34611,2,2.08423
0.5,1,40.0028,11910,-0.000328053,0.00573453,9.83061e-05,0.0055386,-4.99993,0.00368271,1008,1303,1,0.0894427,1,1.54013,1,1.57258,3,2.31452
0.5,1,50.0028,14809,-8.19721e-05,0.00441184,-0.000182606,0.00644951,-4.99999,0.00466562,1010,1650,1,0.1,1,1.80997,1,1.80028,3,2.6898
0.5,1,60.0036,17693,-7.40008e-05,0.00512485,-0.000234866,0.00702529,-4.99999,0.004661,1012,2007,1,0.109545,1,1.97459,1,2.02633,3,3.08334
0.5,1,70.0036,20587,-0.000145279,0.00488892,-0.000140164,0.00724624,-4.99989,0.00529537,1015,2368,1,0.122474,2,1.89182,2,1.90893,4,3.20546
0.5,1,80.0036,23526,-0.000133184,0.00484349,-0.000222006,0.00740177,-5.00001,0.00482801,1015,2759,1,0.122474,2,1.97155,2,2.01271,4,3.39205
0.5,1,90.0044,26472,-0.000151215,0.00562762,-0.000224854,0.007201,-4.99995,0.00531413,1017,3169,1,0.130384,2,2.07027,2,2.09452,4,3.59013
0.5,1,100.006,29401,-0.00031459,0.00732609,-6.80338e-05,0.00829929,-4.99999,0.00754826,1020,2315,1,0.141421,1,1.94551,1,1.98343,3,3.0035
0.5,1,110.006,32320,-0.00029986,0.00796225,-9.12977e-05,0.0085689,-5.00002,0.00846386,1021,2724,1,0.144914,2,1.85284,2,1.84065,4,3.0814
