dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,10.0021,3131,0,0,-7.47677e-05,0.00332325,-5,0,997,238,0,1.0005,0,1.04881,0,1.10045,1,1.17516
0.5,1,20.0047,6109,0,0,-0.000200634,0.00458173,-5,0,1004,604,1,0.0632456,1,1.08213,1,1.0616,2,1.58367
0.5,1,30.0087,9007,1.37758e-05,0.00139758,-0.000269387,0.00488578,-5.00006,0.0018047,1005,932,1,0.0707107,1,1.34127,1,1.27161,2,2.05329
0.5,1,40.0087,11883,1.08521e-05,0.00144491,-0.000315941,0.00550642,-4.99996,0.00111692,1004,1292,1,0.0632456,1,1.55724,1,1.54467,3,2.25898
0.5,1,50.01,14790,-7.87279e-06,0.00177812,-0.00036482,0.00539169,-4.99996,0.0016498,1007,1651,1,0.083666,1,1.77904,1,1.78298,3,2.64424
0.5,1,60.01,17659,0.000115382,0.00262763,-0.000407686,0.00577591,-4.99995,0.00167754,1008,2028,1,0.0894427,1,1.9264,1,1.94782,3,2.93547
0.5,1,70.0112,20539,4.01077e-05,0.00390092,-0.000385527,0.00718765,-4.99991,0.0019723,1009,2400,1,0.0948683,2,1.87537,2,1.83875,4,3.08642
0.5,1,80.0124,23458,0.000256819,0.00444096,-0.000363548,0.00721193,-4.9999,0.00306786,1011,2787,1,0.104881,2,1.98771,2,1.97687,4,3.35842
0.5,1,90.0153,26375,0.000256819,0.00444096,-0.000385728,0.00732945,-4.99993,0.00316854,1011,3163,1,0.114018,2,2.10594,2,2.08614,4,3.58762
0.5,1,100.015,29257,0.000346792,0.00496409,-0.000455001,0.00777641,-5.00015,0.00496535,1011,2257,1,0.104881,1,1.93236,2,1.73494,3,2.98798
0.5,1,110.016,32192,0.000399985,0.00512685,-0.000510997,0.0081211,-5.00022,0.0053252,1013,2670,1,0.114018,2,1.84418,2,1.93598,4,3.15769
0.5,1,120.016,35116,0.000426355,0.00585824,-0.000497977,0.00799776,-5.00036,0.00716119,1016,3098,1,0.126491,2,2.03691,2,2.0283,4,3.48698
0.5,1,130.018,38049,0.000523328,0.00639176,-0.000491692,0.0080601,-5.00051,0.00769107,1016,3509,1,0.126491,2,2.1429,2,2.17002,4,3.73323
0.5,1,140.018,40944,0.000608008,0.00780822,-0.000407465,0.008033,-5.00047,0.00782369,1015,3893,1,0.122474,2,2.34371,2,2.29608,5,3.82243
0.5,1,150.018,43857,0.000796908,0.00880544,-0.000319991,0.00837749,-5.00066,0.00862805,1017,4290,1,0.130384,2,2.51913,2,2.42363,5,4.09097
0.5,1,160.018,46766,0.000662601,0.00844193,-0.000229021,0.00790844,-5.00061,0.0087435,1020,4668,1,0.141421,2,2.7214,2,2.4976,5,4.31578
0.5,1,170.02,49720,0.000529251,0.00847726,-0.000189388,0.0077498,-5.00061,0.0087581,1023,5093,1,0.151658,2,2.71477,2,2.54558,5,4.38862
0.5,1,180.02,52675,0.000573403,0.00866313,-0.000123556,0.00727528,-5.00057,0.00883887,1026,5475,1,0.167332,2,2.79321,2,2.63306,5,4.60467
0.5,1,190.02,55621,0.000570054,0.00871491,-3.85884e-05,0.00756715,-5.00043,0.00898174,1027,5849,1,0.170294,2,2.83849,2,2.72287,5,4.74521
0.5,1,200.02,58580,0.000567811,0.00942304,6.76787e-05,0.00792178,-5.00038,0.00915178,1026,3264,1,0.167332,2,2.06252,2,1.96596,4,3.42885
0.5,1,210.027,61518,0.000989622,0.0124416,0.000116328,0.00810135,-5.00046,0.00992495,1027,3639,1,0.176068,2,2.30174,2,2.13237,5,3.68008
0.5,1,220.028,64465,0.000912104,0.0122404,0.000245655,0.00784165,-5.00043,0.00984014,1030,4042,1,0.184391,2,2.53041,2,2.32357,5,4.03063
0.5,1,230.028,67422,0.000992285,0.0124865,8.32836e-05,0.00834475,-5.00039,0.00987789,1034,4404,1,0.189737,2,2.7133,2,2.53732,5,4.36371
0.5,1,240.028,70400,0.00107856,0.0126061,5.05962e-05,0.00831224,-5.00014,0.0105194,1036,4786,1,0.194936,3,2.65236,2,2.67095,6,4.51741
0.5,1,250.028,73368,0.00102237,0.0125404,8.56596e-05,0.00840732,-5.00011,0.0105507,1033,5180,1,0.187083,3,2.81372,3,2.58205,6,4.75016
0.5,1,260.028,76328,0.00103883,0.0131501,-0.000111458,0.0108979,-4.99989,0.0108019,1032,5581,1,0.184391,3,2.88427,3,2.5805,6,4.82514
0.5,1,270.028,79270,0.00105863,0.0132501,-0.000158773,0.0112484,-4.99992,0.0108725,1034,5964,1,0.189737,3,2.91908,3,2.69462,6,5.0008
0.5,1,280.028,82247,0.00119118,0.0139999,-0.000183926,0.0114985,-4.9999,0.0104444,1032,6301,1,0.184391,3,2.92438,3,2.77507,6,5.12981
0.5,1,290.029,85194,0.00109515,0.0141479,-0.000178743,0.0118847,-5.00007,0.0110657,1029,6697,1,0.176068,3,3.02622,3,2.77921,6,5.22149
0.5,1,300.029,88171,0.00103817,0.0138306,-0.000333172,0.0123339,-5.00022,0.0106177,1029,3632,1,0.176068,2,2.26009,2,2.04059,4,3.6908
0.5,1,310.033,91102,0.00103857,0.0139563,-0.000402655,0.012655,-5.0003,0.0110701,1030,4028,1,0.178885,2,2.4292,2,2.22576,5,3.83836
0.5,1,320.033,94067,0.000977244,0.0137514,-0.000420893,0.01299,-5.00033,0.0101816,1026,4417,1,0.167332,2,2.64707,2,2.38726,5,4.12626
0.5,1,330.033,96998,0.00101581,0.014577,-0.00032503,0.0130598,-5.00042,0.0104451,1029,4764,1,0.181659,3,2.55832,2,2.60384,6,4.31219
0.5,1,340.033,99944,0.00127054,0.0154642,-9.32593e-05,0.0124159,-5.00038,0.0109825,1027,5131,1,0.176068,3,2.73167,3,2.58418,6,4.63832
0.5,1,350.033,102896,0.0014358,0.0155361,-0.00020669,0.0128107,-5.00042,0.0105149,1027,5531,1,0.170294,3,2.85762,3,2.67301,6,4.89295
0.5,1,360.033,105839,0.00149682,0.0154706,0.0001654,0.01204,-5.00034,0.0101503,1026,5934,1,0.167332,3,2.90448,3,2.76749,6,5.08144
0.5,1,370.033,108778,0.00176727,0.016429,0.000180833,0.0120129,-5.00018,0.0108688,1028,6369,1,0.167332,3,2.94567,3,2.7907,6,5.1642
0.5,1,380.033,111717,0.00161755,0.0163928,-7.64461e-05,0.0130466,-5.00019,0.0106965,1025,6724,1,0.158114,3,3.01529,3,2.84868,6,5.31498
0.5,1,390.033,114657,0.00155979,0.0162985,-0.000108032,0.013339,-5.0001,0.0106382,1024,7117,1,0.154919,3,2.99299,3,2.88357,6,5.32926
0.5,1,400.033,117616,0.00168133,0.0161946,-0.000343673,0.013677,-5.00006,0.0104266,1026,3742,1,0.173205,2,2.19704,2,2.09428,4,3.67682
0.5,1,410.033,120562,0.00140481,0.0162357,-0.000213997,0.0136345,-5.00026,0.0113019,1027,4132,1,0.170294,2,2.36157,2,2.26716,5,3.81484
0.5,1,420.033,123484,0.0014761,0.0165507,-0.000174287,0.0139142,-5.00034,0.0114073,1027,4493,1,0.170294,2,2.5708,2,2.49299,5,4.20167
0.5,1,430.033,126439,0.00155441,0.0165914,-0.000157303,0.0140229,-5.0002,0.0113454,1028,4895,1,0.173205,3,2.45825,3,2.39771,6,4.24523
0.5,1,440.033,129392,0.00165228,0.0168881,-0.000220628,0.0142003,-5.00017,0.0112238,1032,5270,1,0.184391,3,2.50779,3,2.51734,6,4.43531
0.5,1,450.033,132367,0.00161522,0.0168087,-1.60777e-05,0.0144297,-5.00023,0.0116859,1029,5672,1,0.187083,3,2.64443,3,2.63363,6,4.70648
0.5,1,460.033,135298,0.00164708,0.0168296,-2.15865e-05,0.0146918,-5.0002,0.0119164,1025,6031,1,0.164317,3,2.74263,3,2.70961,6,4.845
