dForagingSD,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,0,0.0831713,21,21,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.99899,-0.0636564,0.0654322,0,1,1
0.5,1,0.091399,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.97336,0.123336,-0.0452988,0,1,1
0.5,2,0.128176,4,4,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.94262,0.1163,0.0626405,0,1,1
0.5,3,0.154911,5,5,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98111,0.0492701,-0.0432472,0,1,1
0.5,4,0.195149,22,22,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.97135,0,-0.0222648,0,1,1
0.5,5,0.234529,20,20,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.9379,0.098107,-0.0318681,0,1,1
0.5,6,0.23488,14,14,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.88271,-0.0251456,0.16185,1,0,1
0.5,7,0.279156,23,23,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.79867,0.11782,-0.0716834,0,1,1
0.5,8,0.367295,7,7,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.9301,-0.0179966,0.0340398,0,1,1
0.5,9,0.381276,3,3,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.06193,0.004106,-0.0844276,0,1,1
0.5,10,0.44633,12,12,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98485,0.0372551,0,1,0,1
0.5,11,0.522251,10,10,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.0804,-0.0950704,-0.0307929,0,1,1
0.5,12,0.536493,9,9,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.94612,0.0266136,-0.118661,0,1,1
0.5,13,0.567171,16,16,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.78315,-0.0172881,-0.055587,1,0,1
0.5,14,0.596103,18,18,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.83626,0,-0.0341123,1,0,1
0.5,15,0.599673,11,11,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.08048,-0.065687,-0.0127983,0,1,1
0.5,16,0.681769,15,15,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.91444,0.0186041,0.00867049,0,1,1
0.5,17,0.699857,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02015,0.098107,-0.00571052,0,1,1
0.5,18,0.718299,19,19,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.96258,0.0106202,-0.000921581,1,0,1
0.5,19,0.780481,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.95884,0.0400825,0.089392,1,0,1
0.5,20,0.882498,17,17,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.09224,-0.033357,-0.0880163,1,0,1
0.5,21,0.940791,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.81748,0.0819844,0.0284363,0,1,1
0.5,22,0.962907,13,13,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5,-0.163591,0.0202015,1,0,1
0.5,23,0.971522,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5,0,0.0523011,0,1,1
0.5,24,0.972582,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.05536,-0.0249195,0.0340398,1,0,1
0.5,25,3.08317,21,21,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.99899,-0.0636564,0.0654322,0,1,1
