dForagingSD,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,10.0023,3127,-7.16478e-05,0.00216317,-9.13168e-05,0.00216277,-4.99989,0.00395165,994,203,0,0.996995,0,1.0927,0,1.07285,1,1.19875
0.5,20.0045,6076,-6.54634e-05,0.00408244,-0.000134343,0.00255319,-4.99992,0.00411132,1001,530,1,0.0547723,1,1.06771,1,1.06301,2,1.58682
0.5,30.0045,8991,0.000194475,0.00706584,-4.68206e-05,0.0043042,-4.99991,0.00497458,1001,862,1,0.0707107,1,1.30422,1,1.29653,2,2.03961
0.5,40.0045,11875,8.68878e-05,0.00789387,3.95598e-05,0.00509486,-4.99998,0.00532385,1003,1227,1,0.0547723,1,1.52283,1,1.54337,3,2.24833
0.5,50.0086,14757,0.000157182,0.00841797,-0.000122895,0.00613269,-4.99989,0.00644254,1005,1594,1,0.0707107,1,1.8108,1,1.76153,3,2.62602
0.5,60.009,17615,0.000195307,0.00867365,-0.000122895,0.00613269,-4.9999,0.00646338,1005,1943,1,0.0707107,1,1.97535,2,1.75926,3,3.03529
0.5,70.0118,20533,0.000275641,0.00952807,-0.000131544,0.00617971,-4.99997,0.00685234,1007,2342,1,0.083666,2,1.8303,2,1.92302,4,3.13879
0.5,80.0142,23418,0.000297307,0.00956717,-0.000135203,0.00662027,-5.0003,0.00893772,1009,2726,1,0.0948683,2,1.90945,2,2.01296,4,3.29757
0.5,90.0142,26331,0.000159085,0.00979744,-0.000144066,0.00705227,-5.0002,0.0091141,1009,3105,1,0.0948683,2,1.96112,2,2.14429,4,3.50029
0.5,100.017,29214,5.39514e-05,0.010124,-0.000188006,0.00773316,-5.00012,0.00928819,1013,2276,1,0.114018,1,1.99249,1,2.00599,3,3.00599
0.5,110.02,32124,-2.02383e-05,0.0106831,-0.000179475,0.00781354,-5.00014,0.00931896,1015,2668,1,0.122474,2,1.87989,2,1.95038,4,3.19593
0.5,120.021,35035,-2.93837e-05,0.00921442,-0.000233519,0.00801626,-5.00009,0.0093477,1015,3045,1,0.130384,2,2.08878,2,2.06857,4,3.502
0.5,130.021,37977,-8.11715e-05,0.00983579,-0.000354768,0.00986157,-5.00009,0.00960377,1016,3451,1,0.126491,2,2.22621,2,2.19135,5,3.63263
0.5,140.021,40899,-0.000121888,0.0102938,-0.000376371,0.00980228,-5.0001,0.00958598,1020,3837,1,0.154919,2,2.36114,2,2.27442,5,3.8489
0.5,150.021,43840,-0.000157023,0.0109617,-0.000610168,0.0107224,-5.00029,0.0106394,1024,4237,1,0.167332,2,2.48737,2,2.43105,5,4.10841
0.5,160.021,46754,-0.000141786,0.0112053,-0.000713347,0.0113075,-5.00013,0.0117185,1023,4610,1,0.158114,2,2.65537,2,2.56982,5,4.38189
0.5,170.021,49706,-0.000234174,0.0110199,-0.000721696,0.0112706,-5.00006,0.0117224,1021,4981,1,0.151658,2,2.78442,2,2.65028,5,4.52073
0.5,180.021,52620,-0.000375587,0.0111682,-0.000634351,0.0112816,-5.0001,0.0118858,1020,5361,1,0.148324,3,2.68961,2,2.69351,6,4.57176
0.5,190.021,55556,-0.000529916,0.0121364,-0.000663064,0.012125,-4.99995,0.0124602,1022,5749,1,0.148324,3,2.72268,2,2.82577,6,4.75247
0.5,200.021,58491,-0.000592413,0.0123368,-0.000661549,0.0126605,-4.99998,0.0130442,1021,3309,1,0.151658,2,2.01544,2,2.05085,4,3.42023
0.5,210.021,61422,-0.000618825,0.0128597,-0.000608412,0.0126195,-4.99996,0.013054,1024,3704,1,0.154919,2,2.1975,2,2.22216,5,3.64568
0.5,220.021,64372,-0.000647127,0.0130959,-0.000680056,0.0131539,-4.99993,0.0132601,1023,4102,1,0.151658,2,2.38097,2,2.43557,5,3.97102
0.5,230.021,67323,-0.000606313,0.0131813,-0.000500923,0.0133207,-4.99983,0.0136182,1022,4506,1,0.148324,2,2.57274,2,2.58089,5,4.25182
0.5,240.021,70271,-0.000387223,0.0137519,-0.00035262,0.0136855,-4.99982,0.0130321,1024,4917,1,0.154919,2,2.71993,2,2.63685,5,4.47627
0.5,250.021,73205,-0.000297595,0.0138189,-0.0004877,0.0135917,-4.9996,0.0137592,1030,5325,1,0.178885,2,2.74682,2,2.73551,5,4.60565
0.5,260.025,76177,-0.000174001,0.0134885,-0.000324159,0.0147006,-4.99964,0.0140186,1027,5698,1,0.170294,3,2.62717,3,2.66252,6,4.64489
0.5,270.025,79118,-0.000501426,0.0135566,-0.000440649,0.0148981,-4.99965,0.0140573,1023,6087,1,0.158114,3,2.72305,3,2.74864,6,4.81456
0.5,280.025,82042,-0.000470541,0.0130176,-0.000174613,0.0157751,-4.99967,0.01451,1030,6473,1,0.178885,3,2.81745,3,2.86059,6,5.04807
0.5,290.027,84996,-0.000191083,0.0134803,-0.000227578,0.0165717,-4.99969,0.0157508,1031,6860,1,0.181659,3,2.87819,3,2.94228,6,5.19817
0.5,300.027,87981,-0.000424005,0.013834,-0.000390536,0.0161631,-5,0.016962,1030,3711,1,0.178885,2,2.16148,2,2.18861,4,3.74967
0.5,310.027,90933,-0.00041115,0.0139005,-0.000443651,0.0161451,-4.99992,0.0167005,1029,4063,1,0.176068,2,2.32616,2,2.39019,5,3.91842
0.5,320.027,93889,-0.000559236,0.0144968,-0.000571175,0.0166878,-5.00004,0.0166327,1031,4450,1,0.176068,2,2.4968,2,2.56924,5,4.20892
0.5,330.027,96853,-0.00062138,0.0146001,-0.000519708,0.016861,-4.99978,0.0159583,1031,4820,1,0.176068,2,2.6717,2,2.77795,5,4.5417
0.5,340.028,99802,-0.000657931,0.0147775,-0.000656689,0.0172203,-4.99951,0.0157838,1031,5221,1,0.176068,3,2.58998,3,2.66402,6,4.5901
0.5,350.028,102755,-0.000909738,0.0146953,-0.000391214,0.0164846,-4.99952,0.0152794,1029,5609,1,0.170294,3,2.66233,3,2.76875,6,4.77703
