event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0,0.00129578,7,7,-1,-1,1,-1,0,0,0,0,0,1,-1,-4.97263,0,-0.00224007,1,0,1
1,0.0459371,1,1,-1,-1,1,-1,0,0,0,0,0,1,-1,-5,0,0,0,1,1
2,0.0766328,3,3,-1,-1,1,-1,0,0,0,0,0,1,-1,-5,0,0,0,1,1
3,0.218866,4,4,-1,-1,1,-1,0,1,0,0,0,1,-1,-5,0,0,1,0,1
4,0.277026,2,2,-1,-1,1,-1,0,0,0,0,0,1,-1,-5,0,0,1,0,1
5,0.327187,5,5,-1,-1,1,-1,0,0,0,0,0,1,-1,-5,0,0,0,1,1
6,0.391217,8,8,-1,-1,1,-1,0,1,0,0,0,1,-1,-5,0,0,0,1,1
7,0.708503,9,9,-1,-1,1,-1,0,1,0,0,0,1,-1,-5,0,0,1,0,1
8,0.872759,0,0,-1,-1,1,-1,0,0,0,0,0,1,-1,-5,0,0,0,1,1
9,0.882527,6,6,-1,-1,1,-1,0,1,0,0,0,1,-1,-5,0,0,1,0,1
10,3.55102,8,8,-1,-1,1,-1,1,1,0,1,0,1,-1,-5,0,0,0,0,1
11,3.83851,9,9,-1,-1,1,-1,1,1,1,1,0,1,-1,-5,0,0,0,0,2
12,4.08656,7,7,-1,-1,1,-1,0,1,1,1,0,1,-1,-4.97263,0,-0.00224007,2,0,1
13,4.11601,4,4,-1,-1,1,-1,1,0,1,1,0,1,-1,-5,0,0,0,0,2
14,4.28569,3,3,-1,-1,1,-1,0,0,0,1,0,1,-1,-5,0,0,0,2,1
15,4.37532,5,5,-1,-1,1,-1,0,0,0,1,0,1,-1,-5,0,0,1,1,1
16,4.5844,1,1,-1,-1,1,-1,0,0,0,1,0,1,-1,-5,0,0,1,1,1
17,4.62331,6,6,-1,-1,1,-1,1,0,1,1,0,1,-1,-5,0,0,0,0,2
18,5.16587,2,2,-1,-1,1,-1,0,1,1,1,0,1,-1,-5,0,0,1,1,1
19,5.2771,0,0,-1,-1,1,-1,0,0,0,1,0,1,-1,-5,0,0,0,2,1
20,6.28569,3,3,-1,-1,1,-1,0,0,0,2,0,0,6.28569,-5,0,0,0,2,0
21,6.91225,9,17,9,-1,1,16,1,0,0,0,3.83851,1,-1,-5,0,0,0,0,2
22,7.00979,9,9,-1,-1,1,-1,1,1,1,1,0,1,-1,-5,0,0,0,0,2
23,7.07331,8,8,-1,-1,1,-1,1,1,0,1,0,1,-1,-5,0,0,0,0,1
24,7.60192,7,7,-1,-1,1,-1,1,0,2,2,0,1,-1,-4.97263,0,-0.00224007,1,0,2
25,8.22663,2,2,-1,-1,1,-1,1,1,1,2,0,1,-1,-5,0,0,0,1,2
26,8.47789,5,5,-1,-1,1,-1,0,0,1,2,0,1,-1,-5,0,0,1,2,1
27,8.66735,4,4,-1,-1,1,-1,0,0,1,1,0,1,-1,-5,0,0,0,1,2
28,8.78911,6,6,-1,-1,1,-1,0,0,1,1,0,1,-1,-5,0,0,1,0,2
29,8.95809,4,13,4,-1,1,16,0,0,0,0,4.11601,1,-1,-5,0,0,0,2,2
30,9.24501,6,19,6,-1,1,16,0,0,0,0,4.62331,1,-1,-5,0,0,2,0,2
31,9.35516,1,1,-1,-1,1,-1,0,1,1,2,0,1,-1,-5,0,0,1,2,1
32,9.75468,0,0,-1,-1,1,-1,0,0,0,2,0,1,-1,-5,0,0,1,2,1
33,10.5623,9,9,-1,-1,1,-1,1,0,1,1,0,1,-1,-5,0,0,0,0,2
34,10.7278,8,8,-1,-1,1,-1,1,1,0,1,0,1,-1,-5,0,0,0,0,1
35,10.9581,4,13,4,-1,1,16,0,0,0,1,4.11601,0,10.9581,-5,0,0,0,2,1
36,11.0654,9,17,9,-1,1,16,0,1,0,0,3.83851,1,-1,-5,0,0,0,1,2
37,11.3037,2,14,2,-1,1,16,1,0,0,0,8.22663,1,-1,-5,0,0,0,0,2
38,11.615,7,10,7,-1,1,16,0,1,0,0,7.60192,1,-1,-4.97263,0,0,1,1,2
39,12.0701,2,2,-1,-1,1,-1,1,1,1,2,0,1,-1,-5,0,0,0,0,2
40,12.5155,7,7,-1,-1,1,-1,0,1,2,2,0,1,-1,-4.97263,0,-0.00224007,2,1,2
41,12.6657,1,1,-1,-1,1,-1,1,1,1,3,0,1,-1,-5,0,0,1,1,1
42,12.9848,4,4,-1,-1,1,-1,0,0,1,2,0,1,-1,-5,0,0,1,2,1
43,13.0067,5,5,-1,-1,1,-1,0,1,1,3,0,1,-1,-5,0,0,1,3,1
44,13.4242,6,6,-1,-1,1,-1,0,1,2,2,0,1,-1,-5,0,0,2,1,2
45,13.7836,6,19,6,-1,1,16,0,1,1,1,4.62331,1,-1,-5,0,0,2,2,2
46,13.8555,8,8,-1,-1,1,-1,1,1,0,1,0,1,-1,-5,0,0,0,0,1
47,13.8884,0,0,-1,-1,1,-1,0,0,1,3,0,1,-1,-5,0,0,2,2,1
48,14.2091,9,17,9,-1,1,16,1,0,0,1,3.83851,1,-1,-5,0,0,0,0,2
49,15.0091,7,10,7,-1,1,16,1,1,0,1,7.60192,1,-1,-4.97263,0,0,1,1,3
50,15.3318,9,9,-1,-1,1,-1,0,0,1,1,0,1,-1,-5,0,0,0,1,2
51,15.624,2,14,2,-1,1,16,0,1,0,0,8.22663,1,-1,-5,0,0,0,1,2
