gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std
10.0003,3145,-2.90273e-06,9.18382e-05,-2.75325e-05,0.000876493,-4.9999,0.00303197,1002,39,1,0.0447214,1,1.0198,0,0.771362
20.0023,6102,-2.89694e-06,9.17467e-05,-2.74776e-05,0.00087562,-4.9999,0.00302895,1004,96,1,0.0632456,2,1.39571,0,1.09316
30.004,8995,-7.07355e-06,0.000175084,-3.20307e-05,0.00088672,-4.9999,0.00302594,1006,175,1,0.1,2,1.86682,0,1.40357
40.004,11903,5.31898e-05,0.00192154,-9.4076e-06,0.000306181,-4.99991,0.00302081,1010,255,1,0.109545,3,2.10024,1,1.14761
50.004,14816,4.8512e-05,0.00233564,-9.389e-06,0.000305879,-4.99991,0.00307454,1012,342,1,0.109545,4,2.37823,1,1.33379
60.0054,17713,8.63901e-05,0.00262712,3.66156e-05,0.00149509,-4.99987,0.00330951,1013,428,1,0.114018,4,2.77327,1,1.50366
70.0118,20638,9.4123e-05,0.00320673,4.13137e-05,0.00149006,-4.99987,0.00331441,1010,528,1,0.1,5,3.005,1,1.69794
80.0118,23532,0.000175718,0.00328396,6.33077e-05,0.00157678,-4.99988,0.00331566,1012,624,1,0.109545,5,3.44833,2,1.59687
90.0118,26437,0.000175372,0.00328073,-1.63953e-06,0.00259732,-4.99992,0.00354984,1014,710,1,0.118322,6,3.62712,2,1.71493
100.012,29347,0.000172776,0.00372892,-1.64115e-06,0.00259861,-4.99993,0.00359034,1013,97,1,0.122474,7,3.8896,2,1.86199
110.018,32264,0.000172947,0.00373076,-2.46879e-05,0.00270116,-4.99993,0.00359212,1012,171,1,0.109545,7,4.30058,2,1.99374
120.018,35164,0.000118518,0.00411491,-4.20199e-05,0.00279276,-4.99987,0.00344079,1012,263,1,0.109545,8,4.55148,2,2.16795
130.018,38045,0.00013831,0.00413974,-9.83132e-05,0.00241689,-4.99987,0.00344079,1012,341,1,0.109545,8,4.93619,2,2.35499
140.019,40967,0.000159282,0.00408486,-9.78497e-05,0.00376173,-4.99987,0.00344079,1012,424,1,0.109545,9,5.19625,3,2.28932
150.019,43865,0.000164989,0.00444645,-4.33856e-05,0.00411397,-4.99992,0.00367859,1011,527,1,0.104881,9,5.54851,3,2.39708
160.019,46768,0.000211761,0.00431204,-8.02369e-05,0.00420656,-4.99992,0.00368406,1008,607,1,0.1,10,5.83327,3,2.52547
170.019,49676,0.000211132,0.00430566,-7.99988e-05,0.00420032,-4.99992,0.00367859,1011,697,1,0.104881,10,6.08457,3,2.66833
180.02,52567,0.000152558,0.00425212,-9.39398e-05,0.00430755,-4.99982,0.0047785,1014,765,1,0.118322,11,6.41171,3,2.78944
190.02,55487,0.000116126,0.00447545,-0.000212102,0.00509967,-4.99985,0.00390383,1014,865,1,0.118322,11,6.88869,3,2.93513
200.02,58401,8.43488e-05,0.00454401,-0.000226705,0.00513337,-4.99985,0.00391382,1013,93,1,0.114018,11,7.26746,3,3.08415
210.02,61315,3.7399e-05,0.00435346,-0.000240423,0.0051532,-4.99994,0.00249846,1012,164,1,0.109545,12,7.56816,4,3.00217
220.027,64234,8.97126e-06,0.0042648,-0.000211599,0.00524672,-4.99993,0.00250941,1009,240,1,0.0948683,12,7.94707,4,3.10387
230.027,67119,2.313e-05,0.0042843,-0.000223772,0.00530256,-4.99988,0.00297719,1011,320,1,0.104881,12,8.26783,4,3.23605
240.027,70005,2.47902e-05,0.00428462,-0.000218681,0.0053477,-4.9999,0.00302358,1011,402,1,0.104881,13,8.57566,4,3.34828
250.027,72921,3.76831e-05,0.00417548,-0.000246183,0.00538624,-4.99996,0.00340693,1009,493,1,0.104881,13,8.88752,4,3.47232
260.027,75804,7.80097e-05,0.00433661,-0.000260309,0.00539176,-4.99998,0.0038005,1013,582,1,0.114018,13,9.1067,4,3.60403
270.027,78726,0.00016874,0.00380828,-9.65545e-05,0.0043878,-4.99995,0.00362161,1011,660,1,0.122474,13,9.56321,4,3.72156
280.027,81645,0.000142697,0.00335121,-0.000175597,0.00438206,-4.99999,0.00367316,1014,743,1,0.118322,14,9.85089,4,3.87634
290.027,84551,0.000142979,0.00335452,-0.000252905,0.0047369,-5,0.00369273,1012,820,1,0.109545,14,10.1976,4,3.98547
300.027,87457,9.92856e-05,0.00280695,-0.00023941,0.00471811,-4.99998,0.00363674,1012,88,1,0.118322,14,10.4463,4,4.06325
310.027,90376,0.000140748,0.00310015,-0.000228624,0.00472816,-5,0.00358638,1013,172,1,0.122474,15,10.6297,4,4.16041
320.031,93275,6.93767e-05,0.00349858,-5.01365e-05,0.00549364,-4.99997,0.00361594,1011,254,1,0.114018,15,10.9371,5,4.16653
330.031,96188,6.86269e-05,0.00368873,-5.77618e-05,0.00539517,-4.99999,0.00353242,1013,333,1,0.114018,15,11.1617,5,4.25782
340.031,99092,0.000110296,0.00391971,-1.05098e-05,0.00540339,-5,0.00360666,1012,414,1,0.118322,15,11.5281,5,4.35729
350.031,102008,0.000160296,0.00403473,7.83223e-05,0.00558287,-4.99997,0.00369932,1015,509,1,0.122474,15,11.8213,5,4.42244
360.031,104915,0.000127936,0.00396805,2.06284e-05,0.00575794,-5.00003,0.00417283,1016,593,1,0.126491,15,12.0773,5,4.49411
370.031,107845,9.85388e-05,0.00421222,4.67843e-05,0.00572458,-5.00008,0.0043666,1017,674,1,0.130384,15,12.351,5,4.60435
380.031,110776,9.86358e-05,0.00421429,-2.26377e-05,0.00577963,-5.00008,0.00436927,1016,748,1,0.126491,16,12.5515,5,4.64532
390.031,113676,0.000112864,0.00424634,-8.03846e-05,0.00600781,-5.00009,0.0043863,1014,824,1,0.126491,16,12.811,5,4.747
400.031,116612,0.00010624,0.00427934,-0.000227207,0.00551335,-5.00008,0.00396948,1014,92,1,0.126491,16,12.9767,5,4.75763
410.031,119548,6.99466e-05,0.00411601,-0.000138156,0.00605065,-5.00006,0.00401116,1017,178,1,0.130384,16,13.2112,5,4.84283
420.031,122468,6.98779e-05,0.00411399,-0.000166094,0.00617535,-5.0001,0.00449837,1018,249,1,0.141421,16,13.3902,5,4.90775
430.031,125406,0.000129566,0.00402412,-0.000168875,0.00635659,-5.00012,0.00418813,1018,348,1,0.141421,16,13.6651,5,4.94621
440.031,128338,0.000216738,0.00418883,-0.000157618,0.00646076,-5.00011,0.00408769,1019,438,1,0.144914,16,13.9279,5,4.9971
450.031,131260,0.000213401,0.00427096,-0.000147331,0.00644346,-5.00015,0.00405082,1020,541,1,0.148324,17,14.1279,5,5.12387
460.033,134193,0.000209643,0.00477853,-8.79482e-05,0.00634688,-5.00017,0.0041907,1020,614,1,0.148324,17,14.3486,5,5.21795
470.033,137145,0.000268864,0.00509445,-3.67448e-05,0.00581911,-5.00021,0.00437639,1022,704,1,0.154919,17,14.3805,5,5.22446
480.033,140054,0.000325284,0.00499773,-0.00012951,0.00615408,-5.00022,0.00437455,1020,787,1,0.148324,17,14.5811,5,5.30424
490.033,143003,0.000321818,0.00555263,-0.000109378,0.00625129,-5.00027,0.00477054,1023,884,1,0.158114,17,14.6526,5,5.35472
500.033,145947,0.000342759,0.00561875,-6.55965e-05,0.00610631,-5.00017,0.0050514,1028,76,1,0.173205,17,14.8098,5,5.39574
510.033,148902,0.000247846,0.00613307,-3.80019e-05,0.00598379,-5.00008,0.00495184,1026,167,1,0.167332,17,14.9687,5,5.47074
520.033,151842,0.000112651,0.00677165,-0.000125336,0.00588443,-5.00007,0.00466341,1025,251,1,0.158114,17,15.1796,5,5.58283
530.033,154786,0.000186014,0.0070176,-0.000143463,0.0059285,-5.00008,0.00464187,1021,337,1,0.151658,17,15.2428,5,5.6317
540.033,157727,0.00016655,0.00726249,-0.000152786,0.00598026,-5.00003,0.00484145,1021,408,1,0.144914,17,15.3171,5,5.7078
550.033,160660,0.0002242,0.00670715,-6.20352e-05,0.00612418,-4.99997,0.00508383,1022,495,1,0.148324,18,15.3967,6,5.69667
560.033,163580,0.000183305,0.00663886,-1.54685e-05,0.00628343,-4.99998,0.00513802,1021,580,1,0.144914,18,15.5421,6,5.72495
570.033,166507,0.000194338,0.00669437,-1.59302e-05,0.00627051,-5,0.0050632,1022,678,1,0.148324,18,15.7316,6,5.82057
580.034,169439,0.000159512,0.00711798,5.53426e-06,0.00630356,-5,0.00506575,1021,759,1,0.144914,18,15.9095,6,5.81902
590.034,172408,0.000163281,0.00702537,-8.03353e-07,0.00622282,-5.00018,0.00503147,1024,865,1,0.154919,18,16.1041,6,5.89712
600.034,175338,0.000139886,0.0068497,3.2107e-05,0.00613786,-5.00027,0.0053215,1024,82,1,0.161245,18,16.3174,6,5.92039
610.034,178264,0.000378762,0.00718187,3.84143e-05,0.00633199,-5.00017,0.00527655,1025,158,1,0.158114,18,16.3369,6,5.93169
620.034,181218,0.000335164,0.00715486,-4.23486e-05,0.0062156,-5.00024,0.00543997,1023,236,1,0.151658,18,16.4514,6,5.9659
630.045,184184,0.000351665,0.00701908,4.97389e-05,0.00650339,-5.00025,0.00536397,1023,323,1,0.151658,18,16.5555,6,6.03506
640.048,187118,0.000343107,0.00694271,-6.63157e-05,0.0065171,-5.00017,0.00517912,1025,406,1,0.158114,18,16.5084,6,6.02727
650.048,190054,0.000320568,0.00675608,-4.20814e-05,0.00644662,-5.00022,0.00523465,1027,482,1,0.164317,18,16.8058,6,6.12927
660.048,192995,0.000334193,0.00681036,-4.309e-05,0.00669761,-5.00022,0.00523974,1025,556,1,0.164317,18,16.9578,6,6.22117
670.048,195920,0.000272886,0.00684205,2.42132e-05,0.00682384,-5.00023,0.00524262,1028,632,1,0.167332,19,17.1318,6,6.25092
680.048,198892,0.000201151,0.00723757,-1.78673e-05,0.00687851,-5.00026,0.00530489,1028,724,1,0.167332,19,17.2772,6,6.32661
690.048,201824,0.000303467,0.00744745,6.41806e-05,0.00713538,-5.00026,0.00530232,1029,821,1,0.170294,19,17.5943,6,6.40258
700.048,204781,0.000303173,0.00744384,0.000173392,0.0073119,-5.00029,0.00544179,1030,85,1,0.173205,19,17.6735,6,6.45376
710.052,207727,0.000322803,0.00759834,7.69023e-05,0.00761555,-5.00034,0.00571444,1026,171,1,0.161245,19,17.8747,6,6.55957
720.054,210679,0.0003919,0.00772559,0.000107151,0.0078406,-5.00027,0.00546085,1025,261,1,0.158114,19,18.1041,6,6.58559
730.054,213610,0.000413587,0.00775665,7.29371e-05,0.00773655,-5.00024,0.00548633,1023,336,1,0.158114,19,18.267,6,6.64229
740.056,216547,0.000466751,0.00756522,5.98428e-06,0.00740585,-5.00038,0.00606192,1023,419,1,0.151658,19,18.4856,6,6.69216
750.056,219495,0.000432256,0.00739615,9.08191e-05,0.00698681,-5.00038,0.00606487,1022,508,1,0.148324,20,18.6367,6,6.7196
760.056,222436,0.000468548,0.00747492,-2.75571e-05,0.00724797,-5.00045,0.00626264,1021,591,1,0.144914,20,18.8087,6,6.77901
770.056,225347,0.000503592,0.00756502,-9.29554e-05,0.00750229,-5.00044,0.00640567,1021,670,1,0.144914,20,18.9605,6,6.89456
780.056,228294,0.000416909,0.0075722,-0.0001155,0.00757561,-5.00036,0.00639544,1022,754,1,0.154919,20,19.0909,6,6.88244
790.056,231221,0.000425994,0.00754098,-0.000215499,0.00821398,-5.00033,0.00622345,1022,839,1,0.154919,20,19.2477,6,6.9496
800.056,234163,0.000411513,0.00738513,-0.000244923,0.00837041,-5.0003,0.00620991,1022,84,1,0.154919,20,19.4589,6,6.9882
810.056,237096,0.000357759,0.00791512,-0.00024021,0.00847697,-5.00036,0.00651058,1022,162,1,0.154919,20,19.5807,6,7.04365
820.056,240034,0.000215576,0.00822387,-0.000217709,0.00858452,-5.00033,0.00656572,1021,248,1,0.151658,20,19.6735,6,7.09465
830.056,242952,4.26918e-05,0.00844145,-0.000370751,0.00874765,-5.00031,0.00647277,1020,343,1,0.161245,19,19.5967,6,6.99757
840.056,245903,-3.52962e-05,0.00910494,-0.000422833,0.00896583,-5.00026,0.00661703,1021,431,1,0.158114,19,19.7804,6,7.03996
850.056,248838,-9.79081e-05,0.00937763,-0.000325007,0.00911396,-5.00031,0.00663149,1016,531,1,0.148324,19,19.9307,6,7.0635
860.056,251749,-4.99235e-05,0.0094397,-0.00045916,0.0095336,-5.00032,0.00688952,1015,625,1,0.130384,19,19.7685,6,7.01263
870.056,254659,-0.000163844,0.00969918,-0.000443551,0.00930011,-5.00026,0.00709611,1015,719,1,0.130384,19,19.6045,6,7.00328
880.056,257591,-0.000217182,0.00959466,-0.000503565,0.00963427,-5.00038,0.00752438,1016,810,1,0.134164,19,19.6847,6,6.95054
890.056,260523,-0.000255006,0.00960842,-0.000324208,0.00965009,-5.00041,0.00774421,1015,900,1,0.13784,19,19.5353,6,6.88535
900.056,263445,-0.000354057,0.00940765,-0.000421125,0.010178,-5.00044,0.00751539,1018,94,1,0.141421,19,19.6243,6,6.94709
910.056,266397,-0.00036491,0.00996255,-0.000531177,0.00994558,-5.00051,0.007541,1023,184,1,0.158114,19,19.6001,6,6.96376
