dBroodingTime,dForagingTime,dDeathTime,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
12,4,12,0,0.0644733,6,6,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.93398,1,0,1,-0.0823368,-0.225064,0.0937326,0.0959115,0.048097
12,4,12,1,0.0762969,18,18,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.82741,1,0,1,-0.0621509,-0.184795,0.122881,0.100612,-0.126599
12,4,12,2,0.144564,7,7,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.83226,1,0,1,0.0055054,-0.0490482,0.0968575,0.146757,0.141137
12,4,12,3,0.145878,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.84289,1,0,1,-0.035262,-0.0455494,0.0803129,0.0929372,-0.0637609
12,4,12,4,0.160526,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.95345,0,1,1,0.0787967,-0.280106,0.189128,0.14405,0.0183866
12,4,12,5,0.166382,23,23,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.83117,1,0,1,0.0551916,-0.118395,0.0873741,0.099142,0.0143594
12,4,12,6,0.167131,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.72572,1,0,1,0.0791202,-0.101349,0.0368404,0.117519,-0.0219283
12,4,12,7,0.321062,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.79245,1,0,1,-0.0982529,-0.0979958,0.0755339,0.121738,-0.0154955
12,4,12,8,0.356082,11,11,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.7541,0,1,1,0.0633985,-0.213835,0.115487,0.217217,-0.0823626
12,4,12,9,0.364052,17,17,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.75024,1,0,1,-0.0634433,-0.323408,0.115893,0.134084,-0.000152061
