dBroodingTime,dForagingTime,dDeathTime,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
12,20,12,52.0021,3585,-5.00002,0.0003429,1000,246,1,0.0447214,0,1.23855,0,1.28297,1,1.56397,1.2091e-05,0.000292597,-3.71526e-05,0.00105633,1.18632e-06,0.000483162,1.85934e-05,0.000408534,1.37964e-05,0.000436061
12,20,12,104.002,6963,-5.00003,0.000599377,1003,385,1,0.083666,0,1.23572,0,1.20333,1,1.54434,1.12887e-05,0.000741721,-2.23001e-05,0.00127549,1.47216e-05,0.00124071,3.13883e-05,0.000873939,1.05906e-05,0.00044688
12,20,12,156.002,10311,-5.00002,0.00101957,1005,686,1,0.0707107,1,1.19373,1,1.20913,2,1.93881,1.46385e-05,0.000748597,-9.18773e-05,0.00153604,1.68465e-05,0.00132015,2.44699e-05,0.000976286,-6.26957e-05,0.00123875
12,20,12,208.003,13636,-5,0.00113175,1006,547,1,0.0774597,0,1.27906,0,1.39068,1,1.71406,3.5675e-05,0.000837784,-0.000105106,0.00159601,1.57639e-05,0.00154298,2.87043e-05,0.00103503,-6.5353e-05,0.00130799
12,20,12,260.002,16977,-4.99998,0.00124118,1008,873,1,0.0894427,1,1.23531,1,1.26174,2,1.98293,3.40829e-05,0.000821906,-6.46386e-05,0.00177879,-2.03694e-05,0.00177359,3.15876e-05,0.00113875,-3.82073e-05,0.00135402
12,20,12,312.002,20321,-4.99998,0.00120875,1011,675,1,0.104881,0,1.42934,0,1.41421,1,1.8431,6.14918e-06,0.00119199,-3.03665e-05,0.00192557,-1.66246e-05,0.00193176,2.04076e-05,0.0011905,-5.20566e-05,0.00139553
12,20,12,364.002,23684,-4.99997,0.00127896,1010,1013,1,0.1,1,1.27632,1,1.34201,2,2.1019,-2.68352e-05,0.0013412,-2.13926e-05,0.00193111,-1.11267e-05,0.0018909,7.85601e-06,0.00125116,-7.21722e-05,0.00147485
12,20,12,416.006,27034,-4.99999,0.00132838,1010,703,1,0.1,0,1.51096,0,1.46492,1,1.98368,-9.30756e-06,0.00159242,-2.34471e-05,0.00197268,4.6424e-06,0.00202471,-3.64912e-05,0.00150968,-8.43773e-05,0.00155824
12,20,12,468.003,30376,-4.99999,0.00128799,1012,1034,1,0.109545,1,1.43143,1,1.31415,2,2.19454,-1.15972e-05,0.0016098,-2.29392e-05,0.00196629,7.64333e-06,0.00207175,-5.94307e-06,0.00155857,-0.000104262,0.00160397
12,20,12,520.003,33751,-4.99996,0.00131595,1013,746,1,0.114018,1,1.10589,0,1.47139,2,1.71289,1.17572e-06,0.00166598,-1.8056e-05,0.00202896,1.677e-05,0.00245099,-2.65977e-05,0.00163026,-9.45433e-05,0.00171217
12,20,12,572.006,37097,-4.99996,0.00132598,1013,1073,1,0.114018,1,1.34164,1,1.4025,2,2.24031,-5.72228e-06,0.00172072,-4.45318e-05,0.00210929,3.50881e-05,0.00248081,-2.19381e-05,0.00163706,-9.23989e-05,0.00161482
12,20,12,624.002,40453,-4.99995,0.00142167,1012,732,1,0.109545,1,1.17686,1,1.13974,2,1.79221,-2.78916e-06,0.00173144,-8.54515e-05,0.00203129,7.99132e-05,0.00256302,-3.21817e-05,0.00168008,-8.52969e-05,0.0015969
12,20,12,676.002,43818,-4.99995,0.00148342,1014,1112,1,0.118322,1,1.45671,1,1.38058,2,2.29129,-1.37559e-05,0.00187932,-6.25576e-05,0.00202398,7.96383e-05,0.00268017,-8.29754e-05,0.00158427,-2.41405e-05,0.00134211
12,20,12,728.004,47141,-4.99996,0.00149846,1013,857,1,0.122474,1,1.16919,1,1.16619,2,1.85014,-4.24672e-06,0.00190456,-7.97922e-05,0.00204118,6.07258e-05,0.00300854,-6.20123e-05,0.00153602,-3.63217e-05,0.00159774
12,20,12,780.021,50530,-4.99992,0.00162028,1015,1195,1,0.122474,1,1.36198,1,1.48492,2,2.38076,0.000101432,0.00206198,-0.000133405,0.00232169,0.000170461,0.00297121,-7.89354e-06,0.00165112,-3.95422e-06,0.00183111
12,20,12,832.006,53915,-4.99991,0.00187053,1015,852,1,0.130384,1,1.18406,1,1.18364,2,1.81576,4.4486e-05,0.00230032,-0.000130867,0.00235055,0.00014604,0.00288272,-1.40952e-05,0.00172196,-1.36311e-05,0.00198846
12,20,12,884.006,57307,-4.99989,0.00191669,1016,1213,1,0.134164,1,1.46833,1,1.39104,2,2.35011,4.65173e-06,0.0022882,-0.000121522,0.0024549,0.000154308,0.0030303,-6.1881e-07,0.00183852,-3.92139e-05,0.00196059
12,20,12,936.002,60641,-4.99988,0.00217358,1017,918,1,0.130384,1,1.1649,1,1.16876,2,1.84689,-1.72025e-05,0.00230826,-9.89051e-05,0.00265418,8.32427e-05,0.00308996,-3.28014e-06,0.00191232,-4.55496e-05,0.0020258
12,20,12,988.003,64016,-4.9999,0.00211436,1015,1267,1,0.122474,1,1.40499,1,1.35351,2,2.26539,-4.5712e-05,0.00228646,-2.46496e-05,0.00269779,0.000109325,0.00303034,-1.17051e-05,0.00200869,-5.2111e-05,0.00199428
12,20,12,1040,67409,-4.99991,0.00219468,1016,890,1,0.134164,1,1.25419,1,1.2486,2,1.98494,-6.47233e-05,0.00252803,-6.06798e-05,0.00271859,7.06296e-05,0.00296641,-2.25753e-05,0.00208872,-8.81532e-05,0.00213164
12,20,12,1092.01,70792,-4.99992,0.00222242,1015,1260,1,0.13784,1,1.49198,1,1.44465,2,2.43372,-5.623e-05,0.00249888,-7.20149e-05,0.00270338,0.000123898,0.00282114,7.46586e-05,0.00214922,-9.45386e-05,0.00223503
12,20,12,1144.01,74161,-4.99984,0.00228428,1015,959,1,0.130384,1,1.24579,1,1.2502,2,1.91703,-4.21832e-05,0.00256249,-1.0784e-05,0.00282549,0.000107673,0.00310273,7.44479e-05,0.00233726,-0.000102511,0.00214585
12,20,12,1196.01,77511,-4.99984,0.00222226,1016,1304,1,0.148324,1,1.43003,1,1.39571,2,2.33859,-5.89608e-05,0.00271483,5.59697e-05,0.00276738,0.000128295,0.00293204,0.000126796,0.00245324,-0.000112166,0.0020885
12,20,12,1248.01,80887,-4.99981,0.00222529,1019,964,1,0.151658,1,1.17813,1,1.25936,2,1.93184,-4.86481e-05,0.00272649,8.66811e-05,0.0028539,9.89586e-05,0.00313609,0.000139737,0.00246275,-0.000139416,0.00223399
12,20,12,1300.01,84264,-4.99981,0.00238233,1019,1325,1,0.144914,1,1.42443,1,1.46287,2,2.40687,1.95769e-05,0.00265226,6.3123e-05,0.00279488,9.41035e-05,0.00314822,0.000132279,0.00256756,-0.000126282,0.00240483
12,20,12,1352,87643,-4.99982,0.00240792,1024,1019,1,0.161245,1,1.26372,1,1.29769,2,2.11258,2.73148e-05,0.0026331,8.74073e-05,0.00293626,9.32839e-05,0.00332507,0.00013746,0.00264207,-0.000169257,0.00245653
