dBroodingTime,dForagingTime,dDeathTime,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
4,12,2,0,0.0772854,11,11,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.04332,1,0,1,-0.00543019,-0.0288992,-0.00565752,0.0620637,0.0146541
4,12,2,1,0.10989,14,14,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.98875,0,1,1,-0.0764004,0.0363661,-0.0691409,0.0792095,0.0253177
4,12,2,2,0.130049,2,2,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.03307,0,1,1,-0.0174476,0.091043,0.0932081,0.0848712,-0.0329663
4,12,2,3,0.174336,16,16,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.97791,1,0,1,-0.0301968,-0.00927191,0.00570271,0.00623488,0.0684282
4,12,2,4,0.242367,12,12,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.02246,0,1,1,0.0435971,-0.0208373,-0.0318885,0.0713416,0.094326
4,12,2,5,0.242613,3,3,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.88102,0,1,1,-0.0599056,-0.0594159,0.158681,0.0639641,-0.0189464
4,12,2,6,0.2682,17,17,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.87016,0,1,1,-0.056029,-0.0300284,0.0903971,0.0328783,-0.0361785
4,12,2,7,0.329499,23,23,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.93068,1,0,1,0.109515,-0.055463,-0.042531,0.0256731,0.0140979
4,12,2,8,0.351947,21,21,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.05318,1,0,1,0.0428091,0.000407294,0.118464,0.0772404,0.0118222
4,12,2,9,0.419946,20,20,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98386,0,1,1,-0.031252,-0.00373336,0.0773696,0.000749668,-0.0704374
4,12,2,10,0.448081,15,15,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.92813,1,0,1,-0.0139023,0.0182491,0.0418842,0.0393368,-0.00170916
4,12,2,11,0.485919,19,19,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.94311,0,1,1,-0.0247518,-0.0534035,0.0384089,-0.0306986,-0.0431273
4,12,2,12,0.497908,18,18,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.03286,0,1,1,0.00221941,-0.0734054,0.0597786,0.0654817,-0.0407722
4,12,2,13,0.571951,10,10,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.05002,0,1,1,0.03301,0.0383645,0.0936817,-0.0519169,0.155786
4,12,2,14,0.585683,24,24,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98119,1,0,1,-0.0284522,0.103582,-0.0298258,0.0133925,-0.000598451
4,12,2,15,0.667852,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.98065,1,0,1,0.0277513,-0.0135777,0.0081781,-0.0227421,-0.0607868
4,12,2,16,0.703594,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.97533,0,1,1,-0.0607542,-0.0339842,-0.0717039,0.0299267,0.0179846
4,12,2,17,0.728816,4,4,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.96806,1,0,1,-0.0310963,0.0135002,0.00197904,-0.0645625,0.101813
4,12,2,18,0.761336,6,6,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.0277,1,0,1,0.0341638,0.0484937,-0.0154856,-0.0358293,0.0755271
4,12,2,19,0.808325,5,5,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.00599,1,0,1,0.00275462,0.00402564,-0.0212242,-0.058226,0.0262815
4,12,2,20,0.894071,22,22,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.03219,0,1,1,-0.0262916,0.0491235,0.0440866,0.0418624,0.00222405
4,12,2,21,0.894734,9,9,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-5.01945,0,1,1,0.0108953,-0.0521953,0.00865281,0.00692401,0.0190728
4,12,2,22,0.904903,7,7,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-5.02512,1,0,1,-0.0309394,0.0450907,-0.143133,0.0495317,-0.0287862
4,12,2,23,0.931451,13,13,-1,-1,1,-1,0,1,0,0,0,0,0,1,-1,-4.97478,1,0,1,0.0237468,0.00594292,0.105128,0.0700519,0.108019
4,12,2,24,0.966067,8,8,-1,-1,1,-1,0,0,0,0,0,0,0,1,-1,-4.96705,1,0,1,-0.0748781,-0.0762325,0.0903971,0.0850332,0.0199403
