X,dbt,dft,rp,evolution,lou,deadInd,condition
1,4,4,1,0,0,0,NA
2,12,4,1,1,1,1,midBrood_lowFor
3,20,4,1,1,1,1,highBrood_lowFor
4,4,12,1,1,1,1,lowBrood_midFor
5,12,12,1,1,1,1,midBrood_midFor
6,20,12,1,1,1,1,highBrood_midFor
7,4,20,1,1,1,1,lowBrood_highFor
8,12,20,1,1,1,1,midBrood_highFor
9,20,20,1,0,0,0,NA
10,4,4,2,1,1,1,lowBrood_lowFor
11,12,4,2,1,1,1,midBrood_lowFor
12,20,4,2,1,1,1,highBrood_lowFor
13,4,12,2,1,1,1,lowBrood_midFor
14,12,12,2,1,1,1,midBrood_midFor
15,20,12,2,1,1,1,highBrood_midFor
16,4,20,2,1,1,1,lowBrood_highFor
17,12,20,2,0,0,0,NA
18,20,20,2,1,1,1,highBrood_highFor
19,4,4,3,1,1,1,lowBrood_lowFor
20,12,4,3,1,1,1,midBrood_lowFor
21,20,4,3,1,1,1,highBrood_lowFor
22,4,12,3,1,1,1,lowBrood_midFor
23,12,12,3,1,1,1,midBrood_midFor
24,20,12,3,1,1,1,highBrood_midFor
25,4,20,3,1,1,1,lowBrood_highFor
26,12,20,3,1,1,1,midBrood_highFor
27,20,20,3,1,1,1,highBrood_highFor
