gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_mean,dispersal_std
0,0,0,0,0,0,-5,0
0.998034,1000,0,0,0,0,-5,0
5.85404,2000,-2.64155e-05,0.000834496,0,0,-5,0
10.2144,3000,-2.63364e-05,0.000833247,0,0,-5.00001,0.000304478
14.2704,4000,-3.39437e-05,0.00086708,0,0,-5.00001,0.000304478
18.2748,5000,-3.39437e-05,0.00086708,0,0,-5.00001,0.000304478
22.2016,6000,-3.39776e-05,0.000867513,0,0,-5.00001,0.00030463
26.1714,7000,-3.39437e-05,0.00086708,0,0,-4.99999,0.00074805
30.1778,8000,-1.72438e-05,0.00113623,0,0,-4.99999,0.000747305
34.2031,9000,-1.72266e-05,0.00113567,0,0,-4.99999,0.000746933
38.1388,10000,-1.71924e-05,0.00113454,0,0,-4.99999,0.000746191
42.1616,11000,-1.72095e-05,0.0011351,4.32843e-05,0.00137219,-4.99998,0.000826297
46.0585,12000,-1.72095e-05,0.0011351,-8.86317e-06,0.00189716,-4.99998,0.000826297
50.0395,13000,-1.71924e-05,0.00113454,-8.85437e-06,0.00189622,-4.99998,0.000825887
53.9748,14000,9.01321e-06,0.000771911,-8.85437e-06,0.00189622,-4.99994,0.00132142
57.8958,15000,9.01321e-06,0.000771911,-8.85437e-06,0.00189622,-4.99994,0.00132142
61.7884,16000,3.25543e-05,0.00107375,-4.22645e-05,0.00217209,-4.99994,0.00132142
65.7635,17000,3.25866e-05,0.00107428,-4.23065e-05,0.00217317,-4.99992,0.00148664
69.7227,18000,3.04577e-05,0.00107766,-4.23908e-05,0.00217533,-4.99992,0.00148812
73.6805,19000,3.03971e-05,0.00107658,-5.0653e-05,0.00218906,-4.99994,0.00132208
77.5863,20000,3.05735e-05,0.00107659,-5.0653e-05,0.00218906,-4.99995,0.00132363
81.5603,21000,3.05735e-05,0.00107659,-5.0653e-05,0.00218906,-4.99995,0.00132363
85.457,22000,3.06039e-05,0.00107713,-7.11069e-05,0.00228312,-4.99993,0.00170409
89.5454,23000,8.98189e-05,0.00216402,-7.10362e-05,0.00228199,-4.99993,0.00170324
93.4447,24000,8.98189e-05,0.00216402,-4.30662e-05,0.00244901,-4.99993,0.00170324
97.3867,25000,8.98189e-05,0.00216402,-4.13321e-05,0.00268746,-4.99993,0.00170324
101.322,26000,7.4352e-05,0.0022195,-4.13321e-05,0.00268746,-4.99993,0.00170324
