gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std
10.0032,3146,-6.52542e-05,0.00236196,-5.57659e-05,0.00174842,-4.99998,0.00088708,984,249,0,0,0,1,0,1
20.0129,6116,7.32919e-05,0.00359675,-6.23232e-05,0.00204657,-4.99997,0.00412487,1001,586,1,0,1,1,1,1
30.0222,8996,-6.127e-05,0.00495339,-0.000139167,0.00317728,-5,0.00412405,1002,962,1,0,1,1,1,1
40.0234,11884,-0.000240792,0.00582339,-0.000174309,0.0032771,-4.99989,0.00465915,1003,1336,1,0,1,1,1,1
50.0234,14765,-0.000183955,0.00636328,-0.000130732,0.00348007,-4.99975,0.00571372,1003,1707,1,0,1,1,1,1
60.0234,17647,-0.000159546,0.00640313,-3.23659e-05,0.00431586,-4.99982,0.00532006,1005,2076,1,0,2,1,2,1
70.0234,20540,-0.000253604,0.00683797,-8.73653e-05,0.00382212,-4.99989,0.00598637,1010,2476,1,0,2,2,2,2
80.026,23443,-0.000160254,0.00712943,-0.000257668,0.00676239,-4.99972,0.006235,1011,2894,1,0,2,2,2,2
90.0316,26365,-0.00020157,0.00737592,-0.000111141,0.00721861,-4.99971,0.00656948,1010,3294,1,0,2,2,2,2
100.035,29241,-3.81343e-05,0.00794369,-0.000355966,0.00861384,-4.99976,0.00699833,1012,2385,1,0,3,2,2,2
110.035,32159,5.99085e-05,0.00901284,-0.000464568,0.0090281,-4.9998,0.00760928,1010,2764,1,0,3,2,3,2
120.035,35067,4.2894e-05,0.00895486,-0.000492102,0.00879263,-4.99987,0.00776827,1011,3155,1,0,3,2,3,2
130.035,37945,0.000108164,0.00914165,-0.000584243,0.009536,-4.99987,0.00833404,1011,3521,1,0,3,2,3,2
140.035,40855,0.000148615,0.00916873,-0.000582163,0.00964528,-4.9998,0.00847837,1011,3938,1,0,3,3,3,3
150.046,43769,0.000251421,0.00960478,-0.000592544,0.00961707,-4.99985,0.00870585,1015,4302,1,0,3,3,3,3
160.046,46687,0.000184508,0.0100693,-0.000729285,0.0103457,-4.99977,0.00881643,1012,4695,1,0,4,3,4,3
170.046,49592,6.77896e-05,0.0107874,-0.000752679,0.0101766,-4.99994,0.00962534,1015,5137,1,0,4,3,4,3
180.046,52522,-0.000198677,0.0113443,-0.000657031,0.00984935,-4.99997,0.00937767,1017,5521,1,0,4,3,4,3
190.046,55455,-9.60886e-05,0.0113625,-0.00081314,0.010366,-4.99996,0.00937306,1019,5931,1,0,4,3,4,3
200.049,58384,-0.00019352,0.0116318,-0.000911794,0.0101581,-4.99985,0.00991119,1022,3416,1,0,4,3,4,3
210.052,61333,-0.00011517,0.0123198,-0.000794314,0.0106566,-4.99962,0.0091845,1024,3798,1,0,4,3,4,3
220.052,64261,-0.000283835,0.0120468,-0.000621594,0.0108132,-4.9997,0.00959411,1022,4184,1,0,4,4,4,4
230.052,67207,-0.000172008,0.0122801,-0.000650778,0.0109557,-4.9998,0.00956936,1017,4607,1,0,4,4,4,4
240.052,70117,-0.000499699,0.0136988,-0.000621884,0.0109052,-5.00016,0.0115512,1019,5010,1,0,5,4,4,4
250.063,73056,-0.000555285,0.013373,-0.00059034,0.0110382,-5.00014,0.011741,1023,5396,1,0,5,4,5,4
260.063,76011,-0.000740168,0.0140821,-0.00047074,0.0126503,-5.0001,0.0120071,1025,5775,1,0,5,4,5,4
270.064,78947,-0.000798385,0.0141264,-0.000174785,0.0118493,-5.00006,0.0116913,1026,6193,1,0,5,4,5,4
280.066,81889,-0.00079136,0.0146866,-0.000128396,0.0124214,-5.0001,0.0113862,1030,6560,1,0,5,4,5,4
290.067,84852,-0.000829248,0.0146716,-9.1822e-05,0.0124012,-5.00016,0.0113049,1032,6967,1,0,5,4,5,4
300.067,87829,-0.000813542,0.0131513,-3.8573e-05,0.0129102,-5.0001,0.010514,1030,3742,1,0,5,4,5,4
310.084,90772,-0.000702566,0.0129209,7.20353e-05,0.0125602,-4.99994,0.0113104,1032,4177,1,0,5,5,5,4
320.084,93770,-0.000685757,0.0128918,6.60694e-05,0.0129373,-4.99998,0.0115559,1033,4588,1,0,6,5,5,5
330.089,96738,-0.000587489,0.0133488,0.000158453,0.0131661,-5.00003,0.0109834,1033,4993,1,0,6,5,6,5
340.09,99702,-0.000648715,0.0135811,-7.81876e-05,0.0123819,-4.99991,0.0111553,1030,5383,1,0,6,5,6,5
350.096,102648,-0.00057658,0.0132494,2.79286e-05,0.0125313,-4.9998,0.0117052,1029,5756,1,0,6,5,6,5
360.099,105622,-0.000488959,0.014304,9.61602e-06,0.013229,-4.99995,0.0114928,1033,6193,1,0,6,5,6,5
370.099,108581,-0.000255606,0.0144768,1.82609e-05,0.0132051,-4.99985,0.0118066,1032,6589,1,0,6,5,6,5
380.102,111562,-0.000123516,0.014964,5.61929e-05,0.0139795,-5.00005,0.0120639,1033,7005,1,0,6,5,6,5
390.102,114529,0.00026965,0.0149656,3.55224e-05,0.0144144,-4.99988,0.0113073,1029,7387,1,0,6,5,6,5
400.102,117491,0.000273816,0.0156175,0.000424517,0.0136464,-4.99995,0.0117633,1029,3984,1,0,6,5,6,5
410.103,120445,0.00030586,0.0160325,0.000403271,0.0147196,-4.99979,0.0122792,1030,4418,1,0,6,6,6,5
420.11,123409,0.000253558,0.0160785,0.000342766,0.0140418,-4.99979,0.0129929,1028,4816,1,0,6,6,6,5
430.11,126361,0.000579671,0.0168339,8.46883e-05,0.0140647,-4.99986,0.013295,1029,5244,1,0,6,6,6,6
440.115,129294,0.000385969,0.016784,-0.000128058,0.0148412,-4.99971,0.0137577,1028,5649,1,0,6,6,6,6
450.115,132246,0.000310926,0.0167772,-0.000130563,0.0150792,-4.99974,0.0137998,1030,6029,1,0,7,6,6,6
460.115,135210,0.000274775,0.0163303,-6.0222e-05,0.0153253,-4.9997,0.0142485,1028,6440,1,0,7,6,7,6
470.115,138156,0.000569206,0.0173681,-0.000159125,0.0153496,-4.99958,0.0145607,1029,6853,1,0,7,6,7,6
480.115,141119,0.000798396,0.0170222,-0.000113036,0.01487,-4.99962,0.0147315,1031,7285,1,0,7,6,7,6
490.115,144085,0.000953752,0.0179159,-0.000456177,0.0156813,-4.99999,0.0149408,1029,7683,1,0,7,6,6,6
500.115,147053,0.000713497,0.0182055,-0.000388547,0.0162343,-4.99987,0.0151879,1030,4034,1,0,7,6,6,6
510.115,150009,0.000488341,0.0187981,-0.000544812,0.017517,-4.99987,0.0149669,1031,4417,1,0,7,6,7,6
520.115,152961,0.000285432,0.0179806,-0.000695488,0.0171834,-4.99971,0.0155518,1029,4822,1,0,7,6,7,6
530.115,155903,0.000350584,0.0176364,-0.000671593,0.0171331,-4.99974,0.0153774,1028,5227,1,0,7,7,7,6
540.115,158861,0.000240781,0.019633,-0.000825489,0.017725,-4.99971,0.0153085,1033,5656,1,0,7,7,7,7
550.115,161805,0.000185997,0.0203616,-0.000849135,0.0176895,-4.99998,0.0155232,1032,6033,1,0,7,7,7,7
560.115,164788,-5.67583e-05,0.0202291,-0.000715192,0.0180105,-4.99983,0.0158884,1032,6446,1,0,7,7,7,7
570.115,167760,4.78687e-05,0.0207044,-0.000940205,0.0184705,-4.99986,0.0164198,1030,6839,1,0,7,7,7,7
580.115,170733,-0.00015503,0.0210624,-0.0011496,0.0192391,-4.99991,0.0161072,1031,7255,1,0,7,7,7,7
590.115,173686,5.96047e-05,0.0216473,-0.000909016,0.0191053,-5.00026,0.0164108,1029,7651,1,0,7,7,7,7
600.115,176629,8.11416e-05,0.0202868,-0.00109671,0.0194068,-5.0003,0.0161061,1026,4012,1,0,7,7,7,7
610.115,179578,3.05752e-05,0.0206453,-0.000966505,0.0195396,-5.00021,0.0163992,1026,4376,1,0,7,7,7,7
620.115,182515,0.0001236,0.0205846,-0.000595758,0.0190261,-5.00021,0.0165369,1024,4778,1,0,7,7,7,7
630.115,185463,0.000113632,0.0211108,-0.000556696,0.0186954,-5.0002,0.0160117,1024,5195,1,0,7,7,7,7
640.115,188401,0.000162868,0.0213434,-0.000517978,0.0188193,-5.00013,0.0161082,1023,5599,1,0,7,8,7,7
650.115,191327,3.04624e-05,0.0215775,-0.000726495,0.0200351,-5.00032,0.0170044,1023,5947,1,0,7,8,7,8
660.115,194272,0.000229384,0.0214132,-0.000759894,0.0202273,-5.00023,0.0168503,1024,6325,1,0,7,8,7,8
670.115,197176,9.29365e-06,0.0210056,-0.00113437,0.0204753,-4.99985,0.0170122,1021,6695,1,0,7,8,7,8
680.115,200104,-7.00495e-05,0.0206779,-0.00135808,0.0208786,-4.9999,0.0168262,1021,7058,1,0,7,8,7,8
690.115,203056,0.000270371,0.0209566,-0.00140353,0.0208306,-4.99974,0.0164637,1021,7477,1,0,7,8,7,8
700.115,205945,0.000280994,0.0212051,-0.00192076,0.0209423,-4.99969,0.0168222,1022,3902,1,0,7,8,7,8
710.115,208901,0.000220786,0.0210178,-0.00203682,0.0210931,-4.99962,0.0171966,1024,4302,1,0,8,8,7,8
720.115,211848,-0.000237902,0.0209557,-0.00243567,0.0213513,-4.99959,0.0170825,1024,4727,1,0,8,8,7,8
730.115,214794,-9.02391e-05,0.0208598,-0.00257518,0.0214442,-4.99936,0.0167682,1023,5121,1,0,8,8,7,8
740.115,217702,-0.000228725,0.0216586,-0.00266106,0.022352,-4.99923,0.0172095,1019,5520,1,0,8,8,7,8
750.115,220652,0.000238948,0.0211949,-0.00287668,0.0224817,-4.99942,0.0176523,1021,5946,1,0,8,8,7,8
760.115,223586,0.000281854,0.0208709,-0.00278605,0.0228533,-4.99961,0.0175447,1020,6360,1,0,8,8,7,8
770.115,226531,4.37049e-05,0.0210943,-0.00258642,0.0227714,-4.99947,0.0175662,1018,6791,1,0,8,9,7,8
780.115,229446,-0.000134924,0.0215014,-0.0022796,0.0224634,-4.99953,0.0176048,1017,7230,1,0,8,9,7,9
790.115,232358,-0.000140511,0.0215018,-0.0022969,0.0225315,-4.99937,0.0179117,1022,7630,1,0,8,9,7,9
800.115,235321,-0.000135955,0.0213366,-0.0022451,0.0219809,-4.99914,0.0186589,1021,4034,1,0,8,9,7,9
810.115,238259,-0.000593535,0.0219713,-0.00221241,0.0234128,-4.99914,0.0189406,1023,4389,1,0,8,9,8,9
820.115,241182,-0.000836913,0.0222601,-0.00180238,0.0225801,-4.99935,0.0192379,1022,4805,1,0,8,9,8,9
830.115,244099,-0.000719815,0.0224053,-0.00155067,0.0227681,-4.99929,0.0190661,1023,5194,1,0,8,9,8,9
840.115,247035,-0.000531044,0.0221141,-0.00159123,0.0231001,-4.99915,0.019092,1026,5603,1,0,8,9,8,9
850.115,249962,-0.000263163,0.0223721,-0.00150394,0.0237528,-4.99937,0.0195797,1026,5997,1,0,8,9,8,9
860.115,252900,-0.000274379,0.0227839,-0.00157338,0.023795,-4.99925,0.0191777,1024,6371,1,0,8,10,8,9
870.115,255829,-0.000292482,0.0227125,-0.00193381,0.0242699,-4.99932,0.0190044,1026,6760,1,0,8,10,8,9
880.115,258786,-0.000367131,0.0223607,-0.00169183,0.0237908,-4.99938,0.0188909,1026,7172,1,0,8,10,8,9
890.115,261724,-0.000147237,0.0225457,-0.00175626,0.0230203,-4.99947,0.0185609,1024,7579,1,0,8,10,8,9
900.115,264652,-0.000280831,0.0223549,-0.00168709,0.0231201,-4.99906,0.0192175,1027,4040,1,0,8,10,8,10
910.115,267608,-0.000341691,0.0224823,-0.0019865,0.0249074,-4.99944,0.018532,1029,4421,1,0,8,10,8,10
920.115,270551,-0.000613933,0.0232815,-0.00206687,0.0250833,-4.99958,0.0188022,1028,4805,1,0,8,10,8,10
930.115,273502,-0.000686748,0.0228842,-0.0021082,0.0252651,-4.99939,0.0192066,1027,5214,1,0,8,10,8,10
940.115,276419,-0.000524812,0.0237731,-0.0022055,0.0254807,-4.9998,0.0194504,1029,5599,1,0,8,10,8,10
950.115,279399,-0.000789468,0.0243529,-0.0023075,0.0257442,-4.99987,0.0197056,1031,6051,1,0,8,10,8,10
960.115,282370,-0.000782562,0.0242734,-0.00246548,0.0257985,-4.99986,0.0196823,1033,6487,1,0,8,11,8,10
970.115,285329,-0.00107431,0.0255765,-0.00245101,0.0260153,-4.99986,0.0199231,1035,6867,1,0,8,11,8,10
980.115,288277,-0.00149508,0.026825,-0.00243132,0.0264719,-4.9998,0.0196424,1037,7270,1,0,8,11,8,10
990.115,291278,-0.0015623,0.0265043,-0.00253813,0.0275115,-4.99995,0.019372,1038,7654,1,0,8,11,8,10
1000.12,294250,-0.00131165,0.0269375,-0.00269906,0.027744,-4.99994,0.0194642,1038,4049,1,0,8,11,8,11
1010.12,297221,-0.00169902,0.0266049,-0.00284931,0.0283015,-4.99975,0.0194132,1039,4454,1,0,8,11,8,11
1020.12,300200,-0.00162137,0.026718,-0.00315473,0.0276275,-4.99952,0.0194355,1042,4843,1,0,8,11,8,11
1030.12,303182,-0.00141233,0.026551,-0.00307769,0.0276479,-4.99956,0.0198302,1042,5255,1,0,8,11,8,11
1040.12,306180,-0.001201,0.0257573,-0.0029853,0.0270454,-4.99966,0.0194646,1041,5624,1,0,8,12,8,11
1050.12,309152,-0.00113265,0.0253757,-0.00308905,0.0277463,-4.99989,0.0197052,1043,6007,1,0,9,12,8,11
1060.12,312128,-0.00130837,0.0248854,-0.00345826,0.027834,-4.99975,0.0198531,1042,6427,1,0,9,12,8,12
