dForagingSD,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,10.0035,3106,0,0,8.54974e-05,0.00264411,-5.0001,0.00262204,997,223,0,0.998499,0,1.1393,0,1.14848,1,1.2341
0.5,20.0035,6085,7.58729e-05,0.0018934,9.14403e-05,0.0026455,-4.99995,0.0052575,999,578,0,1.0005,1,1.10182,1,1.09225,2,1.60904
0.5,30.0081,8985,0.000171917,0.00437745,0.000180174,0.0034945,-5.00013,0.00669113,1003,910,1,0.0547723,1,1.33492,1,1.32363,2,2.08423
0.5,40.0121,11832,0.000115216,0.00476205,0.000154873,0.00358063,-4.99997,0.00787441,1005,1249,1,0.0707107,1,1.54564,1,1.56748,3,2.27991
0.5,50.0121,14741,0.00022595,0.00435981,0.000151519,0.00369776,-4.99996,0.00814125,1008,1616,1,0.0894427,1,1.79499,1,1.77736,3,2.68831
0.5,60.0151,17632,0.000224027,0.00472569,0.000307765,0.00512014,-5.00004,0.00684767,1009,1983,1,0.0948683,1,1.97434,2,1.78101,3,3.09386
0.5,70.017,20541,0.000150119,0.00567124,0.000231262,0.00468825,-4.99998,0.00729412,1009,2390,1,0.0948683,2,1.83167,2,1.90866,4,3.17175
0.5,80.017,23435,0.000248563,0.00619291,0.000359679,0.00564539,-5.00004,0.00755533,1012,2734,1,0.109545,2,1.95857,2,2.03224,4,3.43453
0.5,90.017,26341,0.000162583,0.00638325,0.000385437,0.00573089,-4.99998,0.00732276,1014,3106,1,0.118322,2,2.11116,2,2.2383,4,3.81772
0.5,100.018,29241,2.67926e-05,0.00757325,0.000346438,0.005873,-5.00011,0.00828151,1015,2194,1,0.122474,1,2.02114,2,1.82811,4,2.96429
0.5,110.018,32162,1.32996e-05,0.00795678,0.000438985,0.00771558,-5.00003,0.00884924,1016,2555,1,0.126491,2,1.92276,2,2.05183,4,3.33272
0.5,120.019,35082,0.000214036,0.00865242,0.00054715,0.00850548,-4.99991,0.00908985,1017,2920,1,0.130384,2,2.13612,2,2.19841,4,3.72263
0.5,130.021,37999,7.11809e-05,0.00900242,0.000616181,0.00930254,-4.99983,0.00824007,1019,3276,1,0.13784,2,2.3184,2,2.33474,5,3.8364
0.5,140.021,40920,0.000113308,0.00915065,0.000559456,0.00941839,-4.99983,0.00823833,1020,3644,1,0.141421,2,2.48656,2,2.51813,5,4.13618
0.5,150.021,43837,8.0338e-05,0.00987109,0.000397691,0.00932251,-4.9998,0.00865529,1019,4058,1,0.13784,2,2.59846,2,2.6414,5,4.3519
0.5,160.021,46778,-5.29059e-05,0.0099115,0.000512926,0.00996974,-4.99967,0.0090008,1022,4466,1,0.148324,2,2.64537,2,2.72929,5,4.50344
0.5,170.021,49727,0.000127499,0.0108444,0.000419522,0.00967066,-4.99973,0.0091657,1022,4856,1,0.154919,2,2.70074,2,2.72544,5,4.54687
0.5,180.022,52653,0.00011635,0.0108546,0.000442567,0.0102489,-4.99999,0.00925763,1021,5218,1,0.158114,3,2.64896,2,2.795,5,4.75089
0.5,190.022,55602,4.23857e-05,0.011403,0.000599041,0.0115381,-5.00005,0.00993146,1026,5635,1,0.178885,3,2.71809,3,2.65368,6,4.78247
0.5,200.025,58534,0.000334035,0.0116868,0.000592319,0.0118114,-4.99981,0.0109287,1029,3197,1,0.192354,2,2.02633,2,1.92873,4,3.33137
0.5,210.027,61496,0.000488769,0.0128828,0.00066481,0.0121294,-4.99986,0.0110251,1032,3576,1,0.2,2,2.26053,2,2.17002,5,3.60652
0.5,220.027,64445,0.000398035,0.0127768,0.000590631,0.0123651,-4.99996,0.0114368,1032,3958,1,0.2,2,2.4409,2,2.33666,5,3.95803
0.5,230.031,67427,0.000296472,0.0128225,0.000641358,0.0123677,-4.99998,0.0117318,1035,4351,1,0.212132,2,2.55323,2,2.50639,5,4.20488
0.5,240.031,70411,0.000201319,0.0132407,0.000580366,0.0128735,-5.00014,0.0122357,1038,4751,1,0.214476,2,2.69203,2,2.64537,5,4.46509
0.5,250.031,73397,0.000436039,0.012525,0.000663663,0.0131443,-5.00016,0.0120151,1034,5158,1,0.2,3,2.62374,2,2.76514,6,4.60239
0.5,260.031,76354,0.000270294,0.0125267,0.000593812,0.013399,-5.00024,0.0117776,1033,5534,1,0.181659,3,2.67301,3,2.64953,6,4.72747
0.5,270.031,79318,0.00019204,0.0129208,0.00073379,0.0138081,-4.99998,0.0125777,1029,5912,1,0.170294,3,2.84552,3,2.71256,6,4.90948
0.5,280.031,82290,0.000317116,0.0133611,0.000659209,0.0138855,-4.99985,0.0131265,1029,6301,1,0.170294,3,2.9189,3,2.72727,6,5.04619
0.5,290.038,85230,0.000299706,0.0137185,0.000730607,0.0140968,-4.99966,0.013555,1030,6669,1,0.173205,3,3.00167,3,2.76333,6,5.19788
0.5,300.038,88221,0.000342824,0.013926,0.000599604,0.0134486,-4.99978,0.0138962,1034,3623,1,0.184391,2,2.17279,2,2.06083,4,3.61663
0.5,310.042,91206,0.000328623,0.0140846,0.000524312,0.0136544,-4.99981,0.0139926,1033,4066,1,0.181659,2,2.37908,2,2.20136,5,3.84942
0.5,320.044,94149,0.000515848,0.015016,0.000949422,0.0146669,-4.99962,0.0141989,1030,4435,1,0.173205,2,2.56437,2,2.42714,5,4.21936
0.5,330.044,97110,0.000509122,0.0152402,0.000967557,0.0148884,-4.99983,0.0141412,1028,4854,1,0.167332,2,2.70481,2,2.52883,5,4.42798
0.5,340.044,100076,0.000308576,0.0145805,0.000878392,0.0146663,-4.99976,0.0140322,1031,5238,1,0.176068,3,2.67133,2,2.69759,5,4.72324
0.5,350.046,103048,0.000564636,0.015064,0.000869623,0.015025,-4.99991,0.0139525,1035,5616,1,0.187083,3,2.77254,2,2.87402,6,4.91396
0.5,360.046,106005,0.000533856,0.0151681,0.000992402,0.0152695,-4.99998,0.0141622,1032,5994,1,0.178885,3,2.81123,3,2.80393,6,5.06725
0.5,370.046,108954,0.000931571,0.0159542,0.000961843,0.0153855,-4.99994,0.0141407,1030,6380,1,0.173205,3,2.91788,3,2.88149,6,5.26013
0.5,380.046,111911,0.00113359,0.0158607,0.00101652,0.0150423,-4.99997,0.014173,1032,6755,1,0.178885,3,2.98998,3,2.89085,6,5.34144
0.5,390.046,114873,0.000979578,0.0155717,0.00106485,0.0148977,-5.00033,0.0154691,1030,7130,1,0.173205,3,3.08172,3,3.05925,6,5.58963
0.5,400.046,117825,0.000733843,0.0154808,0.00111597,0.0152836,-5.0006,0.0154532,1028,3755,1,0.173205,2,2.23473,2,2.15639,4,3.77571
0.5,410.046,120746,0.000659277,0.0156691,0.00118429,0.0158217,-5.00063,0.016024,1026,4145,1,0.161245,2,2.42012,2,2.40998,5,4.02703
0.5,420.046,123699,0.000574564,0.0161766,0.00128332,0.0159035,-5.00057,0.016047,1027,4520,1,0.164317,2,2.62679,2,2.66458,5,4.46542
0.5,430.046,126649,0.000734099,0.0161161,0.0015571,0.0159448,-5.00057,0.015796,1026,4916,1,0.161245,2,2.8406,3,2.67507,5,4.82587
0.5,440.046,129567,0.000725887,0.0163698,0.00156908,0.0159693,-5.00059,0.0162307,1023,5281,1,0.151658,3,2.80642,3,2.82259,6,5.0047
0.5,450.046,132515,0.00066782,0.0160866,0.00123461,0.0167481,-5.00058,0.0163576,1032,5661,1,0.184391,3,2.86356,3,2.90345,6,5.18112
0.5,460.046,135469,0.000736008,0.0160826,0.000784403,0.0169674,-5.00047,0.016348,1033,6050,1,0.187083,3,2.9717,3,2.96917,6,5.35509
0.5,470.046,138406,0.000866913,0.0160608,0.000719876,0.0166651,-5.00058,0.0153181,1035,6425,1,0.192354,3,3.05418,3,3.07181,6,5.55842
0.5,480.052,141386,0.000797046,0.015903,0.000820934,0.0162664,-5.00074,0.0160276,1033,6805,1,0.197484,3,3.14388,3,3.2362,6,5.78074
0.5,490.052,144341,0.000848098,0.0169871,0.000852003,0.0162992,-5.00083,0.0160681,1032,7181,1,0.184391,3,3.23172,3,3.37417,7,5.95827
0.5,500.052,147309,0.000959662,0.0175968,0.00094535,0.0163987,-5.00082,0.0160295,1034,3770,1,0.189737,2,2.26031,2,2.38474,5,3.9
